epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,54.4665,2.99217,4.07256,1.79839,0,0,0,0,0,2.60303,0,0,0,0,0,0,0,0,0.57424,0.12654,0.10252,0.03463,2.82487,2.68303,1.43191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03463,0.00165942,0.00165942,0.068471
2,95.2175,2.78301,2.5712,1.38305,0,0,0,0,0,1.94404,0,0,0,0,0,0,0,0,0.56229,0.20832,0.17022,0.06882,2.67834,2.1857,1.26367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06882,0.00331785,0.00331785,0.0367961
3,135.769,2.77516,2.34792,1.36723,0,0,0,0,0,1.68603,0,0,0,0,0,0,0,0,0.54646,0.17794,0.12962,0.04739,2.78361,2.30533,1.33915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04739,0.00496804,0.00496804,0.00511297
4,177.906,2.81114,2.31037,1.37358,0,0,0,0,0,1.60637,0,0,0,0,0,0,0,0,0.32727,0.20871,0.17546,0.07,2.77143,2.33939,1.32686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.00496288,0.00496288,0.00496288
5,219.405,2.71537,2.16864,1.34239,0,0,0,0,0,1.51661,0,0,0,0,0,0,0,0,0.2792,0.22986,0.20178,0.08011,2.62114,2.08655,1.24171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08011,0.0049505,0.0049505,0.0049505
6,262.348,2.6539,2.06733,1.30491,0,0,0,0,0,1.45212,0,0,0,0,0,0,0,0,0.34137,0.26629,0.23772,0.09618,2.54588,2.01336,1.22857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09618,0.00493813,0.00493813,0.00493813
7,304.841,2.61134,2.00104,1.29008,0,0,0,0,0,1.41827,0,0,0,0,0,0,0,0,0.61694,0.19417,0.19014,0.07746,2.61726,2.62545,1.30481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07746,0.00492575,0.00492575,0.00492575
8,345.913,2.57713,1.95462,1.2681,0,0,0,0,0,1.38682,0,0,0,0,0,0,0,0,0.35782,0.27142,0.25183,0.10905,2.53177,1.94878,1.23208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10905,0.00491338,0.00491338,0.00491338
9,386.432,2.5381,1.90258,1.25285,0,0,0,0,0,1.35619,0,0,0,0,0,0,0,0,0.43693,0.24998,0.2527,0.10536,2.55419,1.82687,1.22117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10536,0.004901,0.004901,0.004901
10,427.093,2.51182,1.85201,1.24863,0,0,0,0,0,1.33253,0,0,0,0,0,0,0,0,0.39566,0.26566,0.24664,0.10764,2.51359,1.83562,1.20729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10764,0.00488863,0.00488863,0.00488863
11,467.912,2.47267,1.81456,1.2316,0,0,0,0,0,1.31427,0,0,0,0,0,0,0,0,0.41192,0.30355,0.28618,0.12715,2.50517,1.89625,1.2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12715,0.00487625,0.00487625,0.00487625
12,509.511,2.4716,1.78138,1.22548,0,0,0,0,0,1.29541,0,0,0,0,0,0,0,0,0.40239,0.32686,0.3073,0.14046,2.4234,1.75832,1.15436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14046,0.00486388,0.00486388,0.00486388
13,550.127,2.43246,1.75325,1.21956,0,0,0,0,0,1.28281,0,0,0,0,0,0,0,0,0.37864,0.29193,0.27903,0.12544,2.50521,1.73939,1.19232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12544,0.0048515,0.0048515,0.0048515
14,590.368,2.41813,1.73345,1.20676,0,0,0,0,0,1.26311,0,0,0,0,0,0,0,0,0.44749,0.32343,0.32097,0.14525,2.40614,1.84307,1.16578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14525,0.00483913,0.00483913,0.00483913
15,634.042,2.39538,1.6846,1.19761,0,0,0,0,0,1.24614,0,0,0,0,0,0,0,0,0.49837,0.31677,0.32526,0.15242,2.38474,1.62334,1.16222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15242,0.00482675,0.00482675,0.00482675
16,674.089,2.39609,1.67957,1.19043,0,0,0,0,0,1.23852,0,0,0,0,0,0,0,0,0.43417,0.33907,0.33359,0.15116,2.4178,1.64855,1.16343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15116,0.00481438,0.00481438,0.00481438
17,714.292,2.37718,1.66454,1.18581,0,0,0,0,0,1.22848,0,0,0,0,0,0,0,0,0.44243,0.36586,0.35179,0.16112,2.3292,1.54937,1.13774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16112,0.004802,0.004802,0.004802
18,756.282,2.35597,1.63617,1.17832,0,0,0,0,0,1.21553,0,0,0,0,0,0,0,0,0.46337,0.35679,0.35649,0.16707,2.35809,1.69642,1.14521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16707,0.00478963,0.00478963,0.00478963
19,797.971,2.3487,1.60712,1.17842,0,0,0,0,0,1.20159,0,0,0,0,0,0,0,0,0.47873,0.37432,0.37549,0.17782,2.31324,1.52261,1.12949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17782,0.00477725,0.00477725,0.00477725
20,840.051,2.33323,1.59158,1.16524,0,0,0,0,0,1.1932,0,0,0,0,0,0,0,0,0.4564,0.36152,0.35567,0.16925,2.34466,1.58861,1.13589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16925,0.00476488,0.00476488,0.00476488
21,881.032,2.30893,1.57459,1.16315,0,0,0,0,0,1.18643,0,0,0,0,0,0,0,0,0.4628,0.39447,0.38255,0.18428,2.28033,1.52699,1.12489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18428,0.0047525,0.0047525,0.0047525
22,920.464,2.29729,1.54945,1.15729,0,0,0,0,0,1.17444,0,0,0,0,0,0,0,0,0.48946,0.38204,0.38341,0.18674,2.29123,1.50766,1.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18674,0.00474013,0.00474013,0.00474013
23,961.224,2.28598,1.53859,1.15052,0,0,0,0,0,1.16367,0,0,0,0,0,0,0,0,0.50328,0.4061,0.40621,0.19989,2.24685,1.45004,1.10219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19989,0.00472775,0.00472775,0.00472775
24,1002.78,2.26442,1.50268,1.1448,0,0,0,0,0,1.15058,0,0,0,0,0,0,0,0,0.49459,0.40616,0.40992,0.20261,2.21965,1.4432,1.10676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20261,0.00471537,0.00471537,0.00471537
25,1043.91,2.25291,1.50165,1.14418,0,0,0,0,0,1.15007,0,0,0,0,0,0,0,0,0.50088,0.40511,0.41305,0.20639,2.23097,1.44227,1.10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20639,0.004703,0.004703,0.004703
26,1085.54,2.24295,1.4803,1.13787,0,0,0,0,0,1.13655,0,0,0,0,0,0,0,0,0.52284,0.42351,0.43846,0.22038,2.18314,1.35285,1.0896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22038,0.00469063,0.00469063,0.00469063
27,1127.37,2.23629,1.46911,1.13361,0,0,0,0,0,1.13354,0,0,0,0,0,0,0,0,0.52989,0.40853,0.42993,0.21594,2.20866,1.4065,1.09236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21594,0.00467825,0.00467825,0.00467825
28,1167.25,2.22484,1.46179,1.12633,0,0,0,0,0,1.12653,0,0,0,0,0,0,0,0,0.5297,0.43003,0.44335,0.2215,2.16099,1.38304,1.07834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2215,0.00466587,0.00466587,0.00466587
29,1207.69,2.21658,1.44508,1.12811,0,0,0,0,0,1.11878,0,0,0,0,0,0,0,0,0.53261,0.41322,0.4395,0.22502,2.16035,1.36102,1.08391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22502,0.0046535,0.0046535,0.0046535
