epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,59.9496,2.96103,3.89766,1.78294,0,0,0,0,0,2.56415,0,0,0,0,0,0,0,0,0.54279,0.15099,0.11354,0.03856,2.85627,2.76641,1.39628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03856,0.00165942,0.00165942,0.068471
2,105.518,2.76234,2.52376,1.38225,0,0,0,0,0,1.90203,0,0,0,0,0,0,0,0,0.28959,0.20637,0.17731,0.06189,2.69687,2.56027,1.28805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06189,0.00331785,0.00331785,0.0367961
3,152.041,2.76274,2.31558,1.36197,0,0,0,0,0,1.65341,0,0,0,0,0,0,0,0,0.55474,0.18236,0.13124,0.04728,2.84101,2.62643,1.36094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04728,0.00496804,0.00496804,0.00511297
4,197.897,2.79204,2.26706,1.362,0,0,0,0,0,1.5796,0,0,0,0,0,0,0,0,0.23754,0.22439,0.15521,0.05839,2.7687,2.60425,1.30764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05839,0.00496288,0.00496288,0.00496288
5,244.75,2.72173,2.15668,1.3418,0,0,0,0,0,1.49329,0,0,0,0,0,0,0,0,0.33326,0.23297,0.20166,0.08014,2.66509,2.24002,1.30512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08014,0.0049505,0.0049505,0.0049505
6,291.209,2.66161,2.06474,1.31103,0,0,0,0,0,1.43983,0,0,0,0,0,0,0,0,0.32088,0.26611,0.229,0.09049,2.62671,2.02068,1.26122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09049,0.00493813,0.00493813,0.00493813
7,337.246,2.62229,1.99815,1.29147,0,0,0,0,0,1.40051,0,0,0,0,0,0,0,0,0.33365,0.22401,0.20079,0.08144,2.71144,2.05662,1.28676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08144,0.00492575,0.00492575,0.00492575
8,382.131,2.5799,1.94215,1.27822,0,0,0,0,0,1.36989,0,0,0,0,0,0,0,0,0.34268,0.24812,0.23133,0.09824,2.54452,1.86743,1.2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09824,0.00491338,0.00491338,0.00491338
9,427.458,2.54022,1.89484,1.25728,0,0,0,0,0,1.33891,0,0,0,0,0,0,0,0,0.38565,0.28014,0.26321,0.11271,2.54442,1.8221,1.21387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11271,0.004901,0.004901,0.004901
10,472.595,2.51816,1.85514,1.24454,0,0,0,0,0,1.3192,0,0,0,0,0,0,0,0,0.40176,0.28771,0.27915,0.12101,2.45358,1.79597,1.18373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12101,0.00488863,0.00488863,0.00488863
11,518.487,2.4941,1.82232,1.23652,0,0,0,0,0,1.29904,0,0,0,0,0,0,0,0,0.32818,0.25838,0.25665,0.11942,2.50594,1.75383,1.19341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11942,0.00487625,0.00487625,0.00487625
12,563.742,2.46607,1.77857,1.2238,0,0,0,0,0,1.28392,0,0,0,0,0,0,0,0,0.44611,0.27746,0.28219,0.12865,2.44198,1.76915,1.16825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12865,0.00486388,0.00486388,0.00486388
13,610.539,2.44437,1.76255,1.21819,0,0,0,0,0,1.26764,0,0,0,0,0,0,0,0,0.42285,0.35097,0.33175,0.1467,2.39985,1.66275,1.16676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1467,0.0048515,0.0048515,0.0048515
14,656.793,2.43328,1.72699,1.21019,0,0,0,0,0,1.25401,0,0,0,0,0,0,0,0,0.46795,0.31467,0.32107,0.14924,2.41477,1.6955,1.16908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14924,0.00483913,0.00483913,0.00483913
15,703.038,2.42054,1.70408,1.20273,0,0,0,0,0,1.23894,0,0,0,0,0,0,0,0,0.48313,0.32237,0.32477,0.14527,2.41644,1.70437,1.18488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14527,0.00482675,0.00482675,0.00482675
16,751.236,2.40028,1.67087,1.19402,0,0,0,0,0,1.22411,0,0,0,0,0,0,0,0,0.41752,0.33764,0.31627,0.13731,2.34029,1.68338,1.14982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13731,0.00481438,0.00481438,0.00481438
17,797.919,2.36997,1.65141,1.18365,0,0,0,0,0,1.21202,0,0,0,0,0,0,0,0,0.45546,0.35339,0.34209,0.15708,2.39926,1.63153,1.16033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15708,0.004802,0.004802,0.004802
18,845.319,2.35891,1.63222,1.18234,0,0,0,0,0,1.20103,0,0,0,0,0,0,0,0,0.47321,0.35971,0.3539,0.16748,2.33617,1.55012,1.14415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16748,0.00478963,0.00478963,0.00478963
19,891.603,2.34946,1.61762,1.1716,0,0,0,0,0,1.19186,0,0,0,0,0,0,0,0,0.44905,0.3642,0.36192,0.17187,2.3127,1.56289,1.13893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17187,0.00477725,0.00477725,0.00477725
20,937.25,2.32672,1.58733,1.16842,0,0,0,0,0,1.1801,0,0,0,0,0,0,0,0,0.49968,0.37558,0.38877,0.18701,2.2593,1.49012,1.11421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18701,0.00476488,0.00476488,0.00476488
21,983.212,2.31205,1.56113,1.15955,0,0,0,0,0,1.16523,0,0,0,0,0,0,0,0,0.52185,0.37728,0.38894,0.18094,2.27409,1.5122,1.12427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18094,0.0047525,0.0047525,0.0047525
22,1029.44,2.30508,1.54717,1.15716,0,0,0,0,0,1.15882,0,0,0,0,0,0,0,0,0.45869,0.38852,0.39033,0.18725,2.28589,1.47209,1.11871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18725,0.00474013,0.00474013,0.00474013
23,1077.01,2.27385,1.52353,1.1545,0,0,0,0,0,1.14865,0,0,0,0,0,0,0,0,0.54735,0.36911,0.39677,0.1961,2.24216,1.46525,1.10357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1961,0.00472775,0.00472775,0.00472775
24,1122.78,2.26221,1.49485,1.14598,0,0,0,0,0,1.13833,0,0,0,0,0,0,0,0,0.50336,0.41282,0.41902,0.20599,2.22654,1.4207,1.10146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20599,0.00471537,0.00471537,0.00471537
25,1168.68,2.25714,1.49305,1.14338,0,0,0,0,0,1.13467,0,0,0,0,0,0,0,0,0.48764,0.40518,0.39776,0.19675,2.26558,1.48013,1.11899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19675,0.004703,0.004703,0.004703
26,1215.17,2.2447,1.47707,1.13911,0,0,0,0,0,1.12702,0,0,0,0,0,0,0,0,0.49107,0.42495,0.42416,0.20896,2.19494,1.42516,1.09691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20896,0.00469063,0.00469063,0.00469063
27,1260.77,2.23189,1.4703,1.13209,0,0,0,0,0,1.12002,0,0,0,0,0,0,0,0,0.52644,0.43022,0.43708,0.21784,2.17709,1.35961,1.09985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21784,0.00467825,0.00467825,0.00467825
28,1306.58,2.21614,1.44808,1.13086,0,0,0,0,0,1.11191,0,0,0,0,0,0,0,0,0.50973,0.4293,0.43868,0.22361,2.16836,1.3664,1.08945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22361,0.00466587,0.00466587,0.00466587
