epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,60.2749,2.90985,3.96612,1.725,0,0,0,0,0,2.56277,0,0,0,0,0,0,0,0,0.53709,0.16056,0.10683,0.03518,2.88489,2.84703,1.33959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03518,0.00165942,0.00165942,0.068471
2,106.252,2.77748,2.53422,1.35182,0,0,0,0,0,1.92261,0,0,0,0,0,0,0,0,0.17589,0.22031,0.13101,0.04785,2.73229,2.49418,1.27178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04785,0.00331785,0.00331785,0.0367961
3,152.74,2.74951,2.2968,1.3477,0,0,0,0,0,1.65566,0,0,0,0,0,0,0,0,0.51607,0.16787,0.09178,0.02976,2.85816,2.39004,1.30509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02976,0.00496804,0.00496804,0.00511297
4,197.947,2.77405,2.25415,1.35588,0,0,0,0,0,1.57424,0,0,0,0,0,0,0,0,0.22401,0.19126,0.15541,0.0578,2.77171,2.39539,1.28677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578,0.00496288,0.00496288,0.00496288
5,245.197,2.68675,2.1222,1.32865,0,0,0,0,0,1.48412,0,0,0,0,0,0,0,0,0.33004,0.2184,0.18886,0.07025,2.67549,2.30669,1.26794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07025,0.0049505,0.0049505,0.0049505
6,290.957,2.62861,2.03382,1.29987,0,0,0,0,0,1.42035,0,0,0,0,0,0,0,0,0.32202,0.21065,0.19445,0.07363,2.68869,2.15613,1.27556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07363,0.00493813,0.00493813,0.00493813
7,337.152,2.59217,1.95707,1.279,0,0,0,0,0,1.38907,0,0,0,0,0,0,0,0,0.62029,0.22469,0.20652,0.08689,2.62045,2.09559,1.28813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08689,0.00492575,0.00492575,0.00492575
8,382.484,2.55348,1.9083,1.25618,0,0,0,0,0,1.36024,0,0,0,0,0,0,0,0,0.32572,0.23237,0.23231,0.10188,2.57736,1.89664,1.24328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10188,0.00491338,0.00491338,0.00491338
9,428.783,2.52004,1.85731,1.24213,0,0,0,0,0,1.32641,0,0,0,0,0,0,0,0,0.30387,0.21881,0.20448,0.08541,2.63482,2.24408,1.22996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08541,0.004901,0.004901,0.004901
10,474.113,2.48528,1.81599,1.23413,0,0,0,0,0,1.3057,0,0,0,0,0,0,0,0,0.35479,0.2509,0.2288,0.10011,2.61696,1.95791,1.23148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10011,0.00488863,0.00488863,0.00488863
