epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,57.0521,2.85703,3.72452,1.68292,0,0,0,0,0,2.47302,0,0,0,0,0,0,0,0,0.57975,0.18509,0.14466,0.05149,2.76722,2.36978,1.41371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05149,0.00165942,0.00165942,0.068471
2,99.011,2.69919,2.41387,1.35017,0,0,0,0,0,1.81233,0,0,0,0,0,0,0,0,0.56822,0.2075,0.17094,0.06408,2.70799,2.45909,1.31389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06408,0.00331785,0.00331785,0.0367961
3,143.392,2.70001,2.2139,1.33475,0,0,0,0,0,1.57821,0,0,0,0,0,0,0,0,0.25027,0.19623,0.14991,0.05759,2.78041,6.00955,1.39113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05759,0.00496804,0.00496804,0.00511297
4,185.396,2.73687,2.17827,1.33753,0,0,0,0,0,1.50846,0,0,0,0,0,0,0,0,0.27743,0.23263,0.1735,0.07103,2.78573,2.37137,1.2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07103,0.00496288,0.00496288,0.00496288
5,228.354,2.65481,2.0443,1.31225,0,0,0,0,0,1.41974,0,0,0,0,0,0,0,0,0.31603,0.26791,0.22788,0.08847,2.62694,2.19136,1.25495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08847,0.0049505,0.0049505,0.0049505
6,269.918,2.61072,1.96596,1.27518,0,0,0,0,0,1.36755,0,0,0,0,0,0,0,0,0.39193,0.27203,0.25377,0.10282,2.5514,1.79638,1.23342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10282,0.00493813,0.00493813,0.00493813
7,311.095,2.55592,1.89332,1.26061,0,0,0,0,0,1.32636,0,0,0,0,0,0,0,0,0.3629,0.26788,0.23757,0.09269,2.63452,1.94121,1.25293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09269,0.00492575,0.00492575,0.00492575
8,352.941,2.51751,1.84787,1.24913,0,0,0,0,0,1.29568,0,0,0,0,0,0,0,0,0.39517,0.34463,0.29898,0.12685,2.472,1.84669,1.2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12685,0.00491338,0.00491338,0.00491338
9,394.963,2.47902,1.79308,1.22956,0,0,0,0,0,1.26516,0,0,0,0,0,0,0,0,0.3619,0.2807,0.25618,0.11422,2.68988,2.02901,1.23538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11422,0.004901,0.004901,0.004901
10,437.429,2.45207,1.74705,1.21734,0,0,0,0,0,1.2379,0,0,0,0,0,0,0,0,0.40314,0.34105,0.31745,0.13392,2.42309,1.68359,1.15855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13392,0.00488863,0.00488863,0.00488863
11,479.481,2.42433,1.71065,1.20707,0,0,0,0,0,1.21545,0,0,0,0,0,0,0,0,0.43462,0.30465,0.31631,0.14346,2.39231,1.63436,1.16876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14346,0.00487625,0.00487625,0.00487625
12,520.658,2.40846,1.67729,1.19293,0,0,0,0,0,1.19937,0,0,0,0,0,0,0,0,0.41601,0.31385,0.30602,0.1319,2.4636,1.6332,1.17247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1319,0.00486388,0.00486388,0.00486388
13,561.72,2.37921,1.6579,1.1874,0,0,0,0,0,1.18548,0,0,0,0,0,0,0,0,0.46167,0.33559,0.33687,0.14626,2.40848,1.58134,1.15281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14626,0.0048515,0.0048515,0.0048515
