epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,47.2713,2.86152,3.75448,1.69645,0.57689,0.16749,0.13876,0.05057,2.83115,2.39758,1.39838,0.05057,0.00165942,0.00165942,0.068471
2,82.7596,2.72844,2.4546,1.41415,0.26669,0.18963,0.1542,0.05839,2.76284,2.60353,1.30219,0.05839,0.00331785,0.00331785,0.0367961
3,116.21,2.7347,2.26516,1.38321,0.22105,0.15477,0.10639,0.03728,2.98654,2.54199,1.46913,0.03728,0.00496804,0.00496804,0.00511297
4,150.603,2.7996,2.25106,1.41552,0.21998,0.19209,0.12556,0.0491,2.90471,8.0517,1.39579,0.0491,0.00496288,0.00496288,0.00496288
5,186.065,2.71598,2.12117,1.3807,0.28147,0.26183,0.20434,0.08085,2.59027,2.07872,1.28887,0.08085,0.0049505,0.0049505,0.0049505
6,221.905,2.66355,2.02935,1.34056,0.35167,0.25791,0.22645,0.09167,2.61013,1.9474,1.28774,0.09167,0.00493813,0.00493813,0.00493813
7,256.597,2.60813,1.96405,1.319,0.32845,0.29696,0.22529,0.0876,2.68592,3.69031,1.27905,0.0876,0.00492575,0.00492575,0.00492575
8,291.276,2.5798,1.92077,1.32018,0.34602,0.32681,0.26694,0.10868,2.5571,2.00792,1.28539,0.10868,0.00491338,0.00491338,0.00491338
9,324.4,2.54779,1.86358,1.29223,0.37711,0.31006,0.27765,0.11921,2.50883,1.85779,1.24414,0.11921,0.004901,0.004901,0.004901
10,358.04,2.52266,1.82414,1.28168,0.35706,0.2512,0.26512,0.11441,2.50084,1.84089,1.23958,0.11441,0.00488863,0.00488863,0.00488863
11,390.931,2.48584,1.79567,1.26978,0.34149,0.26082,0.26132,0.11202,2.49773,1.78927,1.22936,0.11202,0.00487625,0.00487625,0.00487625
12,423.822,2.47155,1.75425,1.254,0.44819,0.31224,0.30527,0.13511,2.42962,1.9752,1.19867,0.13511,0.00486388,0.00486388,0.00486388
13,455.822,2.45383,1.73957,1.24231,0.41983,0.32049,0.30612,0.13315,2.42624,1.66985,1.20854,0.13315,0.0048515,0.0048515,0.0048515
14,489.172,2.42914,1.69744,1.23654,0.39997,0.31202,0.31046,0.1437,2.39372,1.63926,1.19468,0.1437,0.00483913,0.00483913,0.00483913
15,523.579,2.41597,1.68111,1.22441,0.44379,0.33506,0.33011,0.14579,2.38323,1.68106,1.19538,0.14579,0.00482675,0.00482675,0.00482675
16,557.358,2.38738,1.64585,1.22332,0.44555,0.33062,0.3299,0.14703,2.347,1.56244,1.18407,0.14703,0.00481438,0.00481438,0.00481438
17,591.258,2.3775,1.62408,1.21295,0.44685,0.34047,0.33351,0.14777,2.39564,1.65359,1.1725,0.14777,0.004802,0.004802,0.004802
18,625.476,2.35613,1.61566,1.21003,0.5059,0.3489,0.36981,0.17356,2.32516,1.51886,1.16081,0.17356,0.00478963,0.00478963,0.00478963
19,659.107,2.34988,1.58774,1.19983,0.46134,0.36172,0.36883,0.17985,2.27506,1.47348,1.14858,0.17985,0.00477725,0.00477725,0.00477725
20,693.528,2.32656,1.56312,1.1937,0.48217,0.3745,0.37663,0.17799,2.308,1.50008,1.15133,0.17799,0.00476488,0.00476488,0.00476488
21,727.64,2.31398,1.53536,1.18762,0.46622,0.39002,0.385,0.18155,2.29017,1.45921,1.15642,0.18155,0.0047525,0.0047525,0.0047525
22,760.794,2.30613,1.52641,1.18322,0.48078,0.38994,0.38868,0.18452,2.28973,1.44943,1.14741,0.18452,0.00474013,0.00474013,0.00474013
