200      7.06G      0.949     0.4893     0.9285        461        640: 20% ━━────────── 116/563 9.0it/s 12.8s<49.6s
[K    200/200      7.06G       0.95     0.4898     0.9288        583        640: 20% ━━────────── 117/563 9.0it/s 13.0s<49.7s
[K    200/200      7.06G     0.9498     0.4901     0.9287        404        640: 21% ━━╸───────── 119/563 9.1it/s 13.2s<48.5s
[K    200/200      7.06G     0.9484     0.4899      0.928        513        640: 21% ━━╸───────── 121/563 9.3it/s 13.4s<47.6s
[K    200/200      7.06G     0.9477     0.4896      0.928        327        640: 21% ━━╸───────── 122/563 9.4it/s 13.5s<46.9s
[K    200/200      7.06G     0.9476     0.4897      0.928        534        640: 21% ━━╸───────── 123/563 9.5it/s 13.6s<46.1s
[K    200/200      7.06G     0.9483     0.4902     0.9279        621        640: 22% ━━╸───────── 125/563 9.5it/s 13.8s<46.0s
[K    200/200      7.06G     0.9491     0.4906     0.9282        496        640: 22% ━━╸───────── 127/563 9.7it/s 14.0s<44.9s
[K    200/200      7.06G     0.9486     0.4909      0.928        462        640: 22% ━━╸───────── 129/563 10.0it/s 14.2s<43.5s
[K    200/200      7.06G     0.9489      0.491     0.9279        466        640: 23% ━━╸───────── 130/563 9.8it/s 14.3s<44.4s
[K    200/200      7.06G     0.9492     0.4911      0.928        595        640: 23% ━━╸───────── 131/563 9.0it/s 14.4s<47.9s
[K    200/200      7.06G     0.9489     0.4911     0.9277        431        640: 23% ━━╸───────── 132/563 8.6it/s 14.5s<49.9s
[K    200/200      7.06G     0.9493     0.4916     0.9279        399        640: 23% ━━╸───────── 134/563 9.6it/s 14.7s<44.6s
[K    200/200      7.06G      0.948     0.4913     0.9276        485        640: 23% ━━╸───────── 135/563 9.6it/s 14.8s<44.6s
[K    200/200      7.06G     0.9482      0.491     0.9276        568        640: 24% ━━╸───────── 136/563 9.4it/s 14.9s<45.5s
[K    200/200      7.06G     0.9495     0.4915     0.9278        489        640: 24% ━━╸───────── 137/563 8.9it/s 15.1s<48.0s
[K    200/200      7.06G     0.9491     0.4914     0.9276        396        640: 24% ━━╸───────── 138/563 8.7it/s 15.2s<49.1s
[K    200/200      7.06G     0.9487     0.4911     0.9274        556        640: 24% ━━╸───────── 139/563 8.6it/s 15.3s<49.1s
[K    200/200      7.06G     0.9483      0.491     0.9272        532        640: 24% ━━╸───────── 140/563 8.8it/s 15.4s<48.3s
[K    200/200      7.06G     0.9478     0.4907      0.927        434        640: 25% ━━━───────── 141/563 8.5it/s 15.5s<49.6s
[K    200/200      7.06G     0.9491     0.4916     0.9273        380        640: 25% ━━━───────── 142/563 8.6it/s 15.7s<48.9s
[K    200/200      7.06G     0.9494     0.4919     0.9274        491        640: 25% ━━━───────── 143/563 8.1it/s 15.8s<52.0s
[K    200/200      7.06G     0.9483     0.4913     0.9272        438        640: 25% ━━━───────── 145/563 8.5it/s 16.0s<49.3s
[K    200/200      7.06G     0.9491     0.4913     0.9274        556        640: 25% ━━━───────── 146/563 8.2it/s 16.1s<50.6s
[K    200/200      7.06G     0.9487     0.4912     0.9272        588        640: 26% ━━━───────── 147/563 8.4it/s 16.3s<49.3s
[K    200/200      7.06G     0.9485      0.491     0.9272        469        640: 26% ━━━───────── 148/563 8.8it/s 16.4s<47.4s
[K    200/200      7.06G     0.9484     0.4912     0.9272        397        640: 26% ━━━───────── 149/563 8.8it/s 16.5s<47.1s
[K    200/200      7.06G     0.9482     0.4911     0.9271        437        640: 26% ━━━───────── 150/563 8.8it/s 16.6s<46.8s
[K    200/200      7.06G     0.9477      0.491     0.9269        394        640: 26% ━━━───────── 151/563 8.4it/s 16.7s<49.2s
[K    200/200      7.06G     0.9475     0.4908     0.9267        396        640: 26% ━━━───────── 152/563 8.1it/s 16.9s<50.6s
[K    200/200      7.06G     0.9472     0.4907     0.9267        496        640: 27% ━━━───────── 153/563 7.9it/s 17.0s<52.2s
[K    200/200      7.06G     0.9472     0.4908     0.9268        641        640: 27% ━━━───────── 154/563 8.1it/s 17.1s<50.3s
[K    200/200      7.06G     0.9465     0.4905     0.9264        487        640: 27% ━━━───────── 155/563 8.4it/s 17.2s<48.5s
[K    200/200      7.06G     0.9461     0.4903     0.9262        490        640: 27% ━━━───────── 156/563 8.7it/s 17.3s<46.9s
[K    200/200      7.06G     0.9467     0.4907     0.9263        752        640: 27% ━━━───────── 157/563 8.3it/s 17.5s<49.2s
[K    200/200      7.06G     0.9473     0.4912     0.9265        491        640: 28% ━━━───────── 158/563 8.4it/s 17.6s<48.1s
[K    200/200      7.06G     0.9479     0.4914     0.9268        455        640: 28% ━━━───────── 159/563 7.9it/s 17.7s<51.0s
[K    200/200      7.06G     0.9483      0.492     0.9268        467        640: 28% ━━━───────── 160/563 8.5it/s 17.8s<47.4s
[K    200/200      7.06G     0.9481     0.4918     0.9269        407        640: 28% ━━━───────── 161/563 8.1it/s 18.0s<49.9s
[K    200/200      7.06G     0.9491     0.4926     0.9271        435        640: 28% ━━━───────── 162/563 7.9it/s 18.1s<51.0s
[K    200/200      7.06G     0.9489     0.4925     0.9271        559        640: 28% ━━━───────── 163/563 7.7it/s 18.2s<52.2s
[K    200/200      7.06G     0.9484     0.4922      0.927        627        640: 29% ━━━───────── 164/563 8.3it/s 18.3s<48.0s
[K    200/200      7.06G     0.9481     0.4921     0.9269        458        640: 29% ━━━╸──────── 165/563 8.2it/s 18.5s<48.8s
[K    200/200      7.06G     0.9487     0.4926     0.9272        343        640: 29% ━━━╸──────── 166/563 8.4it/s 18.6s<47.3s
[K    200/200      7.06G     0.9483     0.4926     0.9271        361        640: 29% ━━━╸──────── 167/563 8.3it/s 18.7s<47.6s
[K    200/200      7.06G     0.9487     0.4927     0.9271        428        640: 29% ━━━╸──────── 168/563 8.6it/s 18.8s<45.8s
[K    200/200      7.06G     0.9493     0.4929     0.9273        426        640: 30% ━━━╸──────── 169/563 8.7it/s 18.9s<45.5s
[K    200/200      7.06G      0.949     0.4929     0.9272        633        640: 30% ━━━╸──────── 170/563 8.8it/s 19.0s<44.9s
[K    200/200      7.06G     0.9485     0.4927     0.9271        430        640: 30% ━━━╸──────── 171/563 8.2it/s 19.2s<47.5s
[K    200/200      7.06G     0.9486     0.4925      0.927        448        640: 30% ━━━╸──────── 172/563 8.0it/s 19.3s<49.1s
[K    200/200      7.06G     0.9485     0.4925     0.9269        582        640: 30% ━━━╸──────── 173/563 7.8it/s 19.5s<50.2s
[K    200/200      7.06G     0.9489     0.4925      0.927        681        640: 31% ━━━╸──────── 175/563 8.2it/s 19.7s<47.4s
[K    200/200      7.06G      0.949     0.4927      0.927        402        640: 31% ━━━╸──────── 176/563 8.3it/s 19.8s<46.4s
[K    200/200      7.06G     0.9488     0.4927      0.927        441        640: 31% ━━━╸──────── 177/563 8.2it/s 19.9s<47.1s
[K    200/200      7.06G     0.9489     0.4928     0.9269        481        640: 31% ━━━╸──────── 178/563 8.5it/s 20.0s<45.3s
[K    200/200      7.06G     0.9487     0.4928     0.9267        402        640: 31% ━━━╸──────── 179/563 8.5it/s 20.1s<45.1s
[K    200/200      7.06G     0.9486     0.4927     0.9267        368        640: 31% ━━━╸──────── 180/563 8.6it/s 20.3s<44.4s
[K    200/200      7.06G     0.9482     0.4926     0.9267        522        640: 32% ━━━╸──────── 181/563 8.3it/s 20.4s<45.8s
[K    200/200      7.06G     0.9484      0.493     0.9267        437        640: 32% ━━━╸──────── 182/563 8.5it/s 20.5s<44.6s
