epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.7157,1.40338,1.6311,1.27339,0.32966,0.36189,0.30469,0.1846,1.38698,1.21269,1.23625,0.00332741,0.00332741,0.0700533
2,152.314,1.32523,1.04586,1.20901,0.44757,0.47977,0.43424,0.26283,1.32005,1.01746,1.20715,0.00662778,0.00662778,0.0400203
3,218.212,1.3335,1.00664,1.19998,0.38191,0.36954,0.32942,0.19649,1.42768,1.15435,1.28163,0.00989514,0.00989514,0.00995434
4,284.25,1.33156,0.98525,1.20648,0.44189,0.45985,0.43389,0.26968,1.29076,0.92534,1.18327,0.0098515,0.0098515,0.0098515
5,350.933,1.29314,0.9061,1.18262,0.47037,0.48363,0.47522,0.29982,1.27395,0.88014,1.17089,0.009802,0.009802,0.009802
6,418.208,1.26748,0.8588,1.1668,0.4708,0.48737,0.49419,0.31561,1.25743,0.8482,1.16187,0.0097525,0.0097525,0.0097525
7,485.555,1.24584,0.8271,1.15566,0.50896,0.54539,0.52616,0.33627,1.23762,0.79633,1.14738,0.009703,0.009703,0.009703
8,546.832,1.23811,0.80299,1.14952,0.54431,0.5553,0.54428,0.35587,1.2493,0.78399,1.15434,0.0096535,0.0096535,0.0096535
9,606.937,1.22574,0.78214,1.14618,0.58977,0.57836,0.56927,0.36918,1.21573,0.76624,1.14181,0.009604,0.009604,0.009604
10,668.006,1.21404,0.77132,1.14015,0.55067,0.58972,0.58425,0.38494,1.20654,0.73919,1.13751,0.0095545,0.0095545,0.0095545
11,729.651,1.2062,0.75534,1.13446,0.6139,0.6001,0.60392,0.39752,1.20778,0.73725,1.13238,0.009505,0.009505,0.009505
12,789.895,1.20001,0.74202,1.12763,0.62348,0.62562,0.61836,0.40687,1.18906,0.70919,1.12366,0.0094555,0.0094555,0.0094555
13,851.992,1.19592,0.73964,1.1255,0.61541,0.59835,0.59967,0.39049,1.18814,0.72806,1.12056,0.009406,0.009406,0.009406
14,912.794,1.18601,0.72682,1.12122,0.65852,0.62448,0.63629,0.42438,1.17921,0.69779,1.1129,0.0093565,0.0093565,0.0093565
15,974.507,1.17753,0.71526,1.11893,0.67252,0.60709,0.63657,0.42622,1.16959,0.69239,1.11211,0.009307,0.009307,0.009307
16,1038.05,1.17462,0.70929,1.11585,0.65287,0.61331,0.62965,0.42131,1.16043,0.68225,1.10769,0.0092575,0.0092575,0.0092575
17,1100.38,1.16759,0.70278,1.11252,0.66029,0.64068,0.65326,0.43656,1.15876,0.66795,1.10348,0.009208,0.009208,0.009208
18,1165.63,1.1656,0.69779,1.10945,0.65276,0.64706,0.6551,0.4395,1.15905,0.66508,1.10085,0.0091585,0.0091585,0.0091585
19,1231.49,1.16238,0.69173,1.11137,0.69277,0.65212,0.67823,0.46117,1.14162,0.65034,1.09521,0.009109,0.009109,0.009109
20,1297.22,1.15975,0.68502,1.10908,0.68547,0.66231,0.68136,0.46115,1.13881,0.6403,1.09578,0.0090595,0.0090595,0.0090595
21,1360.46,1.15585,0.68199,1.10692,0.69171,0.65723,0.67871,0.46527,1.13217,0.64029,1.09323,0.00901,0.00901,0.00901
22,1425.33,1.14899,0.67282,1.10381,0.71371,0.65815,0.69893,0.47692,1.1276,0.63024,1.0892,0.0089605,0.0089605,0.0089605
23,1492.22,1.1467,0.67052,1.10125,0.70271,0.65209,0.68472,0.46981,1.12607,0.63549,1.08817,0.008911,0.008911,0.008911
24,1558.16,1.14515,0.66727,1.10018,0.70251,0.67019,0.69608,0.47759,1.13145,0.62695,1.09111,0.0088615,0.0088615,0.0088615
25,1625.28,1.14027,0.66515,1.09741,0.72281,0.66306,0.69788,0.47929,1.11861,0.62093,1.0853,0.008812,0.008812,0.008812
26,1689.36,1.13819,0.6577,1.09661,0.72518,0.67576,0.70715,0.48648,1.11622,0.6134,1.08267,0.0087625,0.0087625,0.0087625
27,1745.47,1.13356,0.65583,1.09693,0.71337,0.66668,0.70123,0.48395,1.11866,0.61566,1.0837,0.008713,0.008713,0.008713
28,1809.88,1.13147,0.65154,1.093,0.72371,0.6761,0.70976,0.48777,1.11581,0.60862,1.08263,0.0086635,0.0086635,0.0086635
29,1872.52,1.12956,0.65029,1.0952,0.73351,0.67578,0.71691,0.49415,1.11071,0.60433,1.07921,0.008614,0.008614,0.008614
30,1938.17,1.13099,0.64767,1.09239,0.72163,0.6764,0.71185,0.49201,1.11415,0.60327,1.0817,0.0085645,0.0085645,0.0085645
31,2002.38,1.12594,0.64496,1.09033,0.72243,0.68998,0.71993,0.50134,1.10579,0.60074,1.07856,0.008515,0.008515,0.008515
32,2066.7,1.12418,0.64086,1.09007,0.74344,0.68432,0.7232,0.50216,1.10513,0.5971,1.07786,0.0084655,0.0084655,0.0084655
33,2133.9,1.1218,0.64086,1.08816,0.73836,0.69466,0.7315,0.50832,1.10389,0.59205,1.07642,0.008416,0.008416,0.008416
34,2197.93,1.11972,0.63622,1.08513,0.74148,0.68617,0.72987,0.50755,1.1035,0.59216,1.07604,0.0083665,0.0083665,0.0083665
35,2262.47,1.11956,0.63626,1.08817,0.74083,0.6934,0.73134,0.50908,1.10278,0.58949,1.07597,0.008317,0.008317,0.008317
36,2325.3,1.11823,0.63293,1.08667,0.73054,0.69991,0.72912,0.50918,1.10031,0.5905,1.07408,0.0082675,0.0082675,0.0082675
37,2390.45,1.11724,0.6324,1.08653,0.73868,0.68894,0.73031,0.51085,1.09949,0.58649,1.07398,0.008218,0.008218,0.008218
38,2455.81,1.11228,0.62639,1.08287,0.74742,0.69418,0.73505,0.5118,1.09806,0.58477,1.07355,0.0081685,0.0081685,0.0081685
39,2521.21,1.11223,0.62492,1.08108,0.7388,0.69918,0.73797,0.51407,1.09797,0.58223,1.07368,0.008119,0.008119,0.008119
40,2586.18,1.11476,0.62527,1.08633,0.74309,0.70047,0.73771,0.51428,1.09713,0.58139,1.07372,0.0080695,0.0080695,0.0080695
41,2649.81,1.1113,0.6223,1.08162,0.75049,0.69557,0.73829,0.51632,1.09817,0.5811,1.07318,0.00802,0.00802,0.00802
42,2715.9,1.10996,0.62108,1.08072,0.74509,0.69882,0.73954,0.51648,1.09722,0.5795,1.07214,0.0079705,0.0079705,0.0079705
43,2781.16,1.10756,0.62052,1.07827,0.73523,0.70484,0.74114,0.5179,1.09644,0.57868,1.07164,0.007921,0.007921,0.007921
44,2846.83,1.10613,0.61606,1.08068,0.74576,0.70467,0.74284,0.51941,1.09606,0.57762,1.0716,0.0078715,0.0078715,0.0078715
45,2911.11,1.10329,0.61538,1.07716,0.74148,0.71048,0.74354,0.51872,1.09632,0.57615,1.07194,0.007822,0.007822,0.007822
46,2973.62,1.10461,0.61367,1.08058,0.74838,0.70776,0.74548,0.52061,1.09488,0.57465,1.07156,0.0077725,0.0077725,0.0077725
47,3036.7,1.09956,0.61021,1.0788,0.75134,0.70839,0.74804,0.52283,1.09345,0.57332,1.07082,0.007723,0.007723,0.007723
48,3101.56,1.09908,0.6102,1.07565,0.76141,0.70712,0.75091,0.52547,1.0922,0.57222,1.07031,0.0076735,0.0076735,0.0076735
49,3167.42,1.09908,0.61054,1.07611,0.76461,0.70851,0.75111,0.52527,1.0908,0.57079,1.06958,0.007624,0.007624,0.007624
50,3235.03,1.09669,0.6071,1.07336,0.75486,0.71478,0.75272,0.52647,1.09032,0.57019,1.06921,0.0075745,0.0075745,0.0075745
51,3302.83,1.09639,0.60671,1.07325,0.75646,0.71577,0.75322,0.52665,1.09024,0.56958,1.06901,0.007525,0.007525,0.007525
52,3370.14,1.0922,0.60436,1.07632,0.75416,0.71944,0.75361,0.52777,1.09026,0.56892,1.06896,0.0074755,0.0074755,0.0074755
53,3437.84,1.09467,0.60209,1.0729,0.75371,0.71826,0.7532,0.52795,1.08964,0.56834,1.06857,0.007426,0.007426,0.007426
54,3503.36,1.08983,0.59962,1.07261,0.75253,0.72055,0.75405,0.52855,1.08974,0.56774,1.06849,0.0073765,0.0073765,0.0073765
55,3570.82,1.09127,0.59914,1.07424,0.75643,0.71561,0.75398,0.52902,1.08952,0.56739,1.06817,0.007327,0.007327,0.007327
56,3637.99,1.08755,0.59644,1.07273,0.75624,0.71437,0.75475,0.53002,1.08911,0.56697,1.06787,0.0072775,0.0072775,0.0072775
57,3706.22,1.0878,0.59625,1.0713,0.75811,0.71555,0.75526,0.53049,1.08868,0.56622,1.06765,0.007228,0.007228,0.007228
58,3774.22,1.08421,0.59396,1.06918,0.7585,0.71735,0.75669,0.53168,1.08838,0.56544,1.06741,0.0071785,0.0071785,0.0071785
59,3843.2,1.08593,0.59415,1.06912,0.76208,0.71335,0.75668,0.53183,1.08811,0.5648,1.06719,0.007129,0.007129,0.007129
60,3910.06,1.08646,0.59286,1.06903,0.76123,0.71333,0.75632,0.53202,1.08778,0.56446,1.06704,0.0070795,0.0070795,0.0070795
61,3975.36,1.08429,0.59121,1.07035,0.76636,0.71011,0.75715,0.53233,1.08744,0.56401,1.06679,0.00703,0.00703,0.00703
62,4040.7,1.08318,0.58967,1.06789,0.76367,0.70943,0.75687,0.53276,1.08719,0.56352,1.06664,0.0069805,0.0069805,0.0069805
63,4106.17,1.08307,0.59024,1.065,0.76123,0.71067,0.75766,0.53334,1.08698,0.56325,1.06647,0.006931,0.006931,0.006931
64,4172.59,1.07953,0.58737,1.0684,0.76761,0.70718,0.75793,0.53362,1.08698,0.56279,1.06644,0.0068815,0.0068815,0.0068815
65,4238.17,1.07998,0.58714,1.06793,0.76175,0.71309,0.75838,0.53378,1.0869,0.56244,1.06639,0.006832,0.006832,0.006832
66,4306.78,1.07973,0.58743,1.06786,0.75682,0.71699,0.75865,0.53448,1.0869,0.56213,1.06642,0.0067825,0.0067825,0.0067825
67,4375.17,1.07611,0.58043,1.06526,0.7547,0.71901,0.759,0.53429,1.08699,0.56168,1.06639,0.006733,0.006733,0.006733
68,4436.23,1.07816,0.58526,1.06541,0.75949,0.71641,0.75944,0.53464,1.08699,0.56121,1.06637,0.0066835,0.0066835,0.0066835
69,4499.99,1.07371,0.58064,1.06239,0.76464,0.71399,0.75936,0.53484,1.08706,0.56101,1.0664,0.006634,0.006634,0.006634
70,4565.48,1.07503,0.58004,1.06334,0.7642,0.71453,0.76008,0.53509,1.08703,0.56062,1.06635,0.0065845,0.0065845,0.0065845
71,4630.74,1.07389,0.5784,1.06273,0.76264,0.71547,0.76015,0.53526,1.08714,0.56035,1.06639,0.006535,0.006535,0.006535
72,4696.7,1.0735,0.57714,1.06269,0.76197,0.71803,0.76051,0.53547,1.08717,0.56012,1.06637,0.0064855,0.0064855,0.0064855
