epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7062,1.47162,1.67265,1.19501,0.29807,0.37221,0.2724,0.16363,1.35267,1.24763,1.12765,0.00332741,0.00332741,0.0700533
2,159.833,1.33184,1.09281,1.09031,0.36413,0.44159,0.3712,0.23033,1.29672,1.03028,1.10103,0.00662778,0.00662778,0.0400203
3,228.366,1.33105,1.02501,1.09037,0.35792,0.36973,0.32443,0.20695,1.35744,1.17617,1.13602,0.00989514,0.00989514,0.00995434
4,298.267,1.31857,0.98223,1.1002,0.45668,0.48845,0.44346,0.27845,1.31683,0.93672,1.1241,0.0098515,0.0098515,0.0098515
5,367.327,1.28702,0.90949,1.08532,0.46978,0.5168,0.5001,0.3167,1.27956,0.8801,1.10459,0.009802,0.009802,0.009802
6,436.264,1.26452,0.86799,1.07706,0.45655,0.51075,0.46792,0.2966,1.26984,0.88847,1.097,0.0097525,0.0097525,0.0097525
7,504.324,1.24379,0.837,1.06923,0.53477,0.53694,0.52531,0.34535,1.21824,0.80643,1.07629,0.009703,0.009703,0.009703
8,572.048,1.23746,0.8165,1.06303,0.5568,0.57129,0.55406,0.35796,1.22205,0.79722,1.07864,0.0096535,0.0096535,0.0096535
9,641.299,1.22577,0.7963,1.06017,0.56227,0.54525,0.54174,0.35287,1.21974,0.78282,1.0763,0.009604,0.009604,0.009604
10,708.858,1.21166,0.78128,1.05505,0.57492,0.56541,0.57044,0.37845,1.20343,0.78752,1.07238,0.0095545,0.0095545,0.0095545
11,777.15,1.20361,0.76794,1.04986,0.59915,0.60372,0.59105,0.38913,1.18952,0.7457,1.06062,0.009505,0.009505,0.009505
12,845.791,1.19748,0.75201,1.04726,0.62659,0.59732,0.60903,0.40683,1.17655,0.73077,1.05544,0.0094555,0.0094555,0.0094555
13,912.152,1.193,0.75099,1.04539,0.62664,0.62465,0.62666,0.40942,1.18368,0.72117,1.05344,0.009406,0.009406,0.009406
14,980.23,1.18396,0.73794,1.04239,0.63378,0.60837,0.63072,0.41791,1.16797,0.69806,1.05343,0.0093565,0.0093565,0.0093565
15,1048.38,1.17648,0.7285,1.03989,0.64827,0.6332,0.64606,0.43048,1.16188,0.69103,1.04908,0.009307,0.009307,0.009307
16,1117.01,1.17355,0.72133,1.03656,0.65178,0.64379,0.65057,0.43576,1.15897,0.69397,1.04596,0.0092575,0.0092575,0.0092575
17,1185.24,1.16778,0.71702,1.03528,0.67403,0.64004,0.66049,0.44453,1.15293,0.6655,1.04335,0.009208,0.009208,0.009208
18,1253.5,1.16584,0.70845,1.03377,0.67786,0.62963,0.65407,0.44343,1.14521,0.66853,1.03764,0.0091585,0.0091585,0.0091585
19,1320.89,1.16225,0.7027,1.03407,0.68814,0.63645,0.67595,0.46179,1.14498,0.6644,1.04369,0.009109,0.009109,0.009109
20,1388.54,1.15887,0.69746,1.03139,0.68843,0.65648,0.68066,0.45891,1.13857,0.6523,1.03773,0.0090595,0.0090595,0.0090595
21,1455.33,1.15658,0.6946,1.03028,0.69938,0.66213,0.69082,0.46974,1.1346,0.64952,1.03521,0.00901,0.00901,0.00901
22,1524.01,1.15186,0.68754,1.02954,0.70988,0.6543,0.69238,0.46846,1.13558,0.6473,1.03722,0.0089605,0.0089605,0.0089605
23,1592.89,1.14819,0.68398,1.02627,0.68386,0.66651,0.6989,0.47717,1.12592,0.63986,1.03277,0.008911,0.008911,0.008911
24,1662.38,1.14665,0.68045,1.02548,0.6898,0.66817,0.69553,0.47952,1.13378,0.63926,1.03514,0.0088615,0.0088615,0.0088615
25,1731.23,1.13908,0.67756,1.02259,0.70709,0.68027,0.70762,0.48502,1.11937,0.63023,1.0296,0.008812,0.008812,0.008812
26,1799.8,1.13728,0.67325,1.0227,0.72524,0.67045,0.7062,0.48674,1.11622,0.62741,1.02623,0.0087625,0.0087625,0.0087625
27,1868.19,1.13232,0.66777,1.02125,0.70852,0.68099,0.70848,0.48868,1.11865,0.62438,1.02699,0.008713,0.008713,0.008713
