epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5264,2.42691,2.74512,1.78169,0.22067,0.17235,0.15358,0.08139,1.79456,2.02285,1.30139,0.00332741,0.00332741,0.0700533
2,160.996,1.65472,1.5896,1.1689,0.27,0.28175,0.22913,0.12691,1.64741,1.58219,1.17539,0.00662778,0.00662778,0.0400203
3,230.778,1.5237,1.34274,1.11169,0.31316,0.32417,0.26848,0.14894,1.56432,1.41066,1.1549,0.00989514,0.00989514,0.00995434
4,300.524,1.43225,1.19436,1.08986,0.34288,0.32303,0.29098,0.17586,1.39517,1.22926,1.1099,0.0098515,0.0098515,0.0098515
5,370.581,1.36926,1.08044,1.06542,0.43769,0.37246,0.34862,0.21236,1.38645,1.13527,1.11599,0.009802,0.009802,0.009802
6,437.101,1.33441,1.02034,1.05498,0.35812,0.40616,0.35991,0.21961,1.33234,1.05337,1.06969,0.0097525,0.0097525,0.0097525
7,503.044,1.30811,0.98133,1.04726,0.44625,0.4463,0.43056,0.27116,1.27399,0.97617,1.05174,0.009703,0.009703,0.009703
8,569.834,1.29597,0.94789,1.04155,0.47804,0.46001,0.45607,0.28263,1.28074,0.93863,1.0614,0.0096535,0.0096535,0.0096535
9,634.557,1.28089,0.92081,1.03859,0.47723,0.49298,0.48826,0.309,1.24655,0.89892,1.04608,0.009604,0.009604,0.009604
10,700.355,1.26638,0.90089,1.03381,0.49544,0.4717,0.47188,0.29952,1.25859,0.90313,1.04392,0.0095545,0.0095545,0.0095545
11,768.409,1.2564,0.88262,1.02791,0.51746,0.50438,0.49209,0.31513,1.25381,0.88272,1.04158,0.009505,0.009505,0.009505
12,834.908,1.2504,0.86356,1.02736,0.54226,0.54132,0.53247,0.33886,1.22555,0.845,1.03431,0.0094555,0.0094555,0.0094555
13,901.025,1.24276,0.8545,1.02446,0.55235,0.53456,0.53452,0.34569,1.21997,0.83983,1.03003,0.009406,0.009406,0.009406
14,967.636,1.23315,0.84179,1.02168,0.55451,0.54635,0.55314,0.36633,1.199,0.82605,1.03105,0.0093565,0.0093565,0.0093565
15,1034.21,1.22708,0.82743,1.02022,0.56512,0.5197,0.53845,0.35398,1.21801,0.82706,1.03813,0.009307,0.009307,0.009307
16,1101.86,1.22229,0.81711,1.01774,0.56301,0.57545,0.57012,0.37131,1.20796,0.79405,1.03008,0.0092575,0.0092575,0.0092575
17,1168.3,1.21573,0.81065,1.01595,0.56773,0.59733,0.58593,0.38965,1.19062,0.76543,1.0203,0.009208,0.009208,0.009208
18,1234.07,1.21247,0.80271,1.01459,0.5926,0.57329,0.58684,0.38466,1.18768,0.77016,1.02184,0.0091585,0.0091585,0.0091585
19,1300.28,1.20738,0.79387,1.01411,0.60487,0.58349,0.59254,0.39583,1.18505,0.76244,1.02244,0.009109,0.009109,0.009109
20,1366.87,1.20494,0.78926,1.01277,0.62028,0.58762,0.6086,0.39843,1.18288,0.7487,1.02355,0.0090595,0.0090595,0.0090595
21,1433.12,1.20369,0.78476,1.01249,0.61172,0.60116,0.60846,0.40793,1.17454,0.73681,1.01469,0.00901,0.00901,0.00901
22,1498.05,1.1956,0.77464,1.0101,0.61026,0.62015,0.61866,0.41621,1.16663,0.7302,1.01197,0.0089605,0.0089605,0.0089605
23,1565.01,1.19501,0.77128,1.00903,0.60302,0.62037,0.62398,0.41985,1.17208,0.72914,1.01688,0.008911,0.008911,0.008911
24,1632.83,1.19124,0.76732,1.00711,0.62509,0.61742,0.63738,0.42916,1.16696,0.71677,1.0139,0.0088615,0.0088615,0.0088615
25,1698.55,1.18671,0.76323,1.00649,0.63933,0.60439,0.63496,0.42798,1.15958,0.71224,1.01099,0.008812,0.008812,0.008812
