route,arm,seed,completed_epochs,endpoint_status,metric_source,mAP50_95_percent,AP50_percent,AP75_percent,run
OEv1,paired,0,38,pending_training,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/rgbir_object_evidence_expand_20260906/full_paired_s0_attempt1
OEv1,weight0,0,200,completed,independent_last_ema,54.34618520685574,76.99251535173484,63.93291745479234,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/rgbir_object_evidence_expand_20260906/full_weight0_s0_attempt1
OEv1,paired,42,200,completed,independent_last_ema,54.65816217191543,77.0696200439378,63.839323049220795,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/rgbir_object_evidence_v1_20260906/full_paired_s42_attempt1
OEv1,weight0,42,146,pending_training,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/rgbir_object_evidence_v1_20260906/full_weight0_s42_attempt1
OEv1,paired,123,200,completed,independent_last_ema,54.63684720507138,77.30455672411458,64.21477409983494,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/rgbir_object_evidence_expand_20260906/full_paired_s123_attempt1
OEv1,weight0,123,31,pending_training,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/rgbir_object_evidence_expand_20260906/full_weight0_s123_attempt1
OS-SSL-IR,paired,0,0,queued,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/paired_rgb_s0_e200
OS-SSL-IR,paired,42,0,queued,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/paired_rgb_s42_e200
OS-SSL-IR,paired,123,200,completed,independent_last_limited_receipt,53.93215189647383,75.85670222705042,63.08368035398894,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/paired_rgb_s123_e200
OS-SSL-IR,ir_only,0,0,queued,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/sar_only_rgb_s0_e200
OS-SSL-IR,ir_only,42,200,completed,terminal_csv_only,54.623,76.822,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/sar_only_rgb_s42_e200
OS-SSL-IR,ir_only,123,0,queued,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/sar_only_rgb_s123_e200
OS-SSL-IR,shuffled,0,167,running,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/shuffled_rgb_s0_e200
OS-SSL-IR,shuffled,42,0,queued,pending,,,,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/shuffled_rgb_s42_e200
OS-SSL-IR,shuffled,123,200,completed,independent_last_limited_receipt,53.22374705200127,75.32367868103968,62.74082524570419,/mnt/dataset/yudongfang/projects/RGBT_campaign/runs/osssl_ir_20260906/shuffled_rgb_s123_e200
