epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_lld,train/kd_ccl,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_lld,val/kd_ccl,lr/pg0,lr/pg1,lr/pg2
1,408.602,1.40025,1.59452,1.26578,3e-05,0.69059,0,0,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,803.445,1.32133,1.02529,1.207,3e-05,0.69051,0,0,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,1186.58,1.33074,0.99366,1.2063,3e-05,0.69094,0,0,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,1552.07,1.32513,0.97417,1.20694,3e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,1921,1.2898,0.89915,1.18195,3e-05,0.6909,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,2343.31,1.26684,0.85439,1.16925,3e-05,0.69074,0,0,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,3037.84,1.2466,0.825,1.15795,2e-05,0.6907,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,3700.28,1.23533,0.7979,1.1496,3e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,4013.11,1.22481,0.78156,1.14647,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,4338.14,1.21236,0.76792,1.14078,2e-05,0.69113,0,0,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,4636.6,1.20442,0.754,1.13463,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,4876.34,1.19894,0.73718,1.12836,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,5116.84,1.19519,0.73504,1.12651,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,5375.18,1.18471,0.72215,1.12162,2e-05,0.69055,0,0,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,5652.23,1.17833,0.71384,1.12043,2e-05,0.69105,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,5892.42,1.17276,0.70673,1.11675,2e-05,0.69078,0,0,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,6132.48,1.16698,0.69995,1.11428,2e-05,0.69101,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,6371.25,1.16529,0.69678,1.11061,2e-05,0.69086,0,0,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,6615.84,1.16043,0.68879,1.11249,2e-05,0.69063,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
