id,rgb_luminance,ir_luminance,rgb_gray_sd,gradient_corr,edge_distance_median_norm_diag,edge_distance_p90_norm_diag,phase_dx_norm,phase_dy_norm,phase_response,phase_shift_norm,rgb_shape,ir_shape,rgb_gt_n,ir_gt_n,matched_gt_n,identical_label_bytes
00006,7.644718647003174,113.19605255126953,12.794925689697266,0.23785788143365716,0.004419417382415922,0.029064180058966053,0.0002694092987939989,0.001057371437421395,0.18165531605482102,0.0010911533929522745,"[512, 640]","[512, 640]",18,21,18,False
00007,7.788209915161133,128.04042053222656,11.241584777832031,0.17745260680259567,0.00625,0.03983608994994363,0.0038432852273392547,0.0003353277653769915,0.06446918725967407,0.0038578862151334727,"[512, 640]","[512, 640]",23,42,23,False
00009,8.483622550964355,117.82405090332031,9.546380996704102,0.18192603275036737,0.004941058844013093,0.025194555463432966,-0.0007383047543489063,-0.005263357705488669,0.23990483306348323,0.005314887416137914,"[512, 640]","[512, 640]",12,26,12,False
00013,20.127901077270508,131.27601623535156,30.648012161254883,0.24784766633930666,0.011267347735824966,0.08199776102126204,-0.0019437124919473802,0.00036832055959132857,0.16616660475730896,0.0019783018692732324,"[512, 640]","[512, 640]",4,17,4,False
00029,157.1666717529297,158.27195739746094,22.244882583618164,0.46922754731136146,0.002209708691207961,0.018221724671391562,-0.013479830984079033,-0.040340992068796044,0.03309780120849609,0.04253353364645362,"[512, 640]","[512, 640]",11,11,11,False
00032,143.8056182861328,96.43610382080078,33.27372741699219,0.4312122995062348,0.002209708691207961,0.011048543456039804,0.005369573025920093,-0.003621582755895769,0.3848174339532852,0.006476741166550526,"[512, 640]","[512, 640]",10,10,10,False
00037,168.39256286621094,127.57012939453125,23.466455459594727,0.580611089335065,0.002209708691207961,0.006987712429686843,-0.0013713060470004201,0.0003614385328611469,0.3481162006407976,0.0014181389521399999,"[512, 640]","[512, 640]",20,20,20,True
00043,21.436355590820312,160.8400421142578,19.69730567932129,0.33498218270028013,0.002209708691207961,0.013975424859373685,-0.0005100854011043765,-0.05474893221481416,0.03340842939913273,0.05475130834764349,"[512, 640]","[512, 640]",1,1,1,False
00045,66.28836059570312,150.1121063232422,46.968238830566406,0.5795735847147071,0.0,0.011048543456039804,0.011386358237933525,-9.781093580230048e-06,0.1187615355104208,0.011386362439003435,"[512, 640]","[512, 640]",1,1,1,False
00054,76.79243469238281,107.89234161376953,54.1709098815918,0.5916090429633473,0.0,0.006629126073623883,0.012426962965858301,-0.0044023118823402815,0.12671472911722959,0.013183692899343801,"[512, 640]","[512, 640]",4,4,4,False
00059,86.03336334228516,126.24955749511719,54.29954147338867,0.43166770217760314,0.002209708691207961,0.03493856214843421,0.008752337813752575,-0.004303085520761129,0.2017037308216095,0.009752946334571275,"[512, 640]","[512, 640]",16,16,16,False
00064,77.80845642089844,135.6903839111328,39.49723434448242,0.6776777587904306,0.0,0.004419417382415922,-0.0013075039988125424,-0.0006670739576165374,0.38563051983714103,0.0014678400361895637,"[512, 640]","[512, 640]",7,7,7,True
00075,60.20131301879883,123.674072265625,25.872289657592773,0.6220759157142718,0.0,0.008838834764831844,0.008202639823281465,0.000249693483816138,0.440454703271389,0.0082064393561607,"[512, 640]","[512, 640]",1,1,1,True
00078,53.34561538696289,131.99575805664062,30.820945739746094,0.45297962679086445,0.0,0.011899645477912356,0.044662032924742155,-9.553278496579053e-05,0.32308463245630265,0.04466213509768376,"[512, 640]","[512, 640]",1,1,1,False
00129,70.97297668457031,148.1929168701172,25.98472023010254,0.3574544762710806,0.002209708691207961,0.011048543456039804,0.0019110660356619568,-0.016797511628244166,0.34708129018545153,0.016905873839990013,"[512, 640]","[512, 640]",3,3,3,False
