id,rgb_gt,ir_gt,class_id,iou,center_shift_norm,center_shift_over_rgb_sqrt_area,dx_norm,dy_norm,rgb_hit,ir_hit,rgb_pred_iou,ir_pred_iou,rgb_wrong_class_overlap,ir_wrong_class_overlap,ir_minus_rgb_loc_iou,rgb_luminance
010010,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.860947707500857,0.9326226490756385,False,False,0.07167494157478149,29.12224006652832
010010,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.689995505013211,0.897581509142275,False,False,0.20758600412906392,29.12224006652832
010010,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8032673823993357,0.8088149359122812,False,False,0.005547553512945447,29.12224006652832
010010,3,3,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6493578880830859,0.7649471517848961,False,False,0.11558926370181022,29.12224006652832
010010,4,4,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7825920615072957,0.9094621351180604,False,False,0.12687007361076474,29.12224006652832
010010,5,5,0,1.0,0.0,0.0,0.0,0.0,False,True,0.0,0.7931923666394437,False,False,0.7931923666394437,29.12224006652832
010010,6,6,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8541208099709261,0.9084580124444347,False,False,0.054337202473508595,29.12224006652832
010011,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6628002435625105,0.6225289955053404,False,False,-0.040271248057170195,33.54759979248047
010011,1,1,0,1.0,0.0,0.0,0.0,0.0,False,False,0.2858942624728705,0.31210636447753287,False,False,0.026212102004662396,33.54759979248047
010011,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.882766786136626,0.9236417165972228,False,False,0.04087493046059687,33.54759979248047
010011,3,3,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5225886408895898,0.7968394437232305,False,False,0.27425080283364067,33.54759979248047
010015,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7221622156193745,0.7505794675559732,False,False,0.02841725193659861,31.81648826599121
010021,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8554914503567624,0.9192505325079858,False,False,0.06375908215122339,26.393573760986328
010021,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8478052416393627,0.7663049292982671,False,False,-0.08150031234109556,26.393573760986328
010021,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8651576903629369,0.8488933359958417,False,False,-0.01626435436709517,26.393573760986328
010047,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8375940693982846,0.7976879888919898,False,False,-0.03990608050629485,36.98990249633789
010047,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8311504125404562,0.8461965216325736,False,False,0.015046109092117455,36.98990249633789
010047,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.847887403929459,0.8678471829852062,False,False,0.019959779055747195,36.98990249633789
010047,3,3,0,1.0,0.0,0.0,0.0,0.0,False,False,0.19358582393600132,0.0,False,False,-0.19358582393600132,36.98990249633789
010054,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7646834772898634,0.7471114885833091,False,False,-0.017571988706554298,38.48004913330078
010054,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5824704279906435,0.8162736248023963,False,False,0.23380319681175277,38.48004913330078
010062,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8958516910343508,0.8538044582364377,False,False,-0.042047232797913114,26.68997573852539
010062,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.9418882851027328,0.8422623351902732,False,False,-0.09962594991245965,26.68997573852539
010062,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7096678920812172,0.7894076058842676,False,False,0.07973971380305045,26.68997573852539
010062,3,3,0,1.0,0.0,0.0,0.0,0.0,True,True,0.8092544831447409,0.8012356098792255,False,False,-0.008018873265515425,26.68997573852539
010062,4,4,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7987249964113913,0.7365240515528502,False,False,-0.06220094485854111,26.68997573852539
010071,0,0,0,1.0,0.0,0.0,0.0,0.0,True,True,0.5897172295879909,0.6722605614692128,False,False,0.08254333188122187,31.751283645629883
010071,1,1,0,1.0,0.0,0.0,0.0,0.0,True,True,0.7557658072773086,0.812055039923277,False,False,0.05628923264596841,31.751283645629883
010071,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.6641004599484501,0.6672614837903367,False,False,0.0031610238418865455,31.751283645629883
010076,0,0,0,1.0,0.0,0.0,0.0,0.0,True,False,0.6092063456064232,0.4304051962243661,False,False,-0.17880114938205705,43.28327560424805
010076,1,1,0,1.0,0.0,0.0,0.0,0.0,False,True,0.32295563219467055,0.8243512680126301,False,False,0.5013956358179597,43.28327560424805
010076,2,2,0,1.0,0.0,0.0,0.0,0.0,True,True,0.9308301938982629,0.7171060085343438,False,False,-0.21372418536391913,43.28327560424805
010076,3,3,0,1.0,0.0,0.0,0.0,0.0,True,True,0.806898265183384,0.7685783645086757,False,False,-0.03831990067470836,43.28327560424805
