epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.378,1.40495,1.62857,1.27335,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,423.457,1.32801,1.05268,1.17787,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,627.034,1.32651,1.01146,1.14672,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,831.211,1.3191,0.97355,1.13446,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,1034.57,1.28372,0.90016,1.11437,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,1238.14,1.25993,0.85405,1.10126,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,1443.6,1.24649,0.82941,1.0937,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,1646.07,1.23046,0.8008,1.09024,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,1848.62,1.21826,0.78255,1.08271,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,2053.32,1.21057,0.76902,1.07924,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,2301.35,1.2026,0.75694,1.07228,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,2552.03,1.19443,0.74454,1.06726,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,2803.88,1.19048,0.73619,1.06874,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,3054.99,1.1843,0.72787,1.06345,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,3305.61,1.17763,0.71969,1.06003,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,3558.2,1.17101,0.71108,1.05686,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,3809.39,1.16923,0.70631,1.05663,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,4061.01,1.1664,0.70024,1.05572,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,4311.41,1.16161,0.69424,1.05159,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,4563.77,1.16079,0.68761,1.05054,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,4817.26,1.1547,0.68496,1.04883,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,5069.81,1.15006,0.68164,1.04475,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
23,5322.49,1.14452,0.67532,1.04285,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
24,5574.17,1.14348,0.67221,1.04378,0,0,0,0,0,0,0,0.0088615,0.0088615,0.0088615
25,5825.74,1.14235,0.67055,1.04143,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
26,6078.16,1.13604,0.66421,1.03902,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
27,6330.47,1.13193,0.6593,1.03768,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
28,6583.73,1.13182,0.65869,1.03971,0,0,0,0,0,0,0,0.0086635,0.0086635,0.0086635
29,6834.11,1.12891,0.65603,1.03454,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
30,7085.2,1.12513,0.64953,1.03537,0,0,0,0,0,0,0,0.0085645,0.0085645,0.0085645
31,7334.86,1.12399,0.64814,1.0348,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
32,7586.7,1.12015,0.64335,1.03435,0,0,0,0,0,0,0,0.0084655,0.0084655,0.0084655
33,7837.19,1.12051,0.64538,1.03298,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
34,8089.59,1.11658,0.64043,1.02987,0,0,0,0,0,0,0,0.0083665,0.0083665,0.0083665
35,8341.8,1.11613,0.6381,1.0308,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
36,8593.79,1.1152,0.63725,1.02927,0,0,0,0,0,0,0,0.0082675,0.0082675,0.0082675
37,8843.64,1.1129,0.63372,1.03043,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
38,9096.41,1.1094,0.63005,1.03025,0,0,0,0,0,0,0,0.0081685,0.0081685,0.0081685
39,9348.02,1.10659,0.62844,1.02772,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
40,9599.95,1.10713,0.62769,1.03008,0,0,0,0,0,0,0,0.0080695,0.0080695,0.0080695
41,9852.58,1.10688,0.6275,1.02733,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
42,10103.5,1.10363,0.62384,1.02488,0,0,0,0,0,0,0,0.0079705,0.0079705,0.0079705
43,10355,1.09941,0.61992,1.02365,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
44,10607,1.10336,0.62073,1.02616,0,0,0,0,0,0,0,0.0078715,0.0078715,0.0078715
