dataset,split,arm,input_dim,n_objects,four_edge_mse,left_mse,top_mse,right_mse,bottom_mse,mean_iou_rgb_gt,invalid_negative_distance_n
dronevehicle,train,native_N_dfl_expectation,0,15019,0.07026540069519141,0.07151601283783939,0.06697407887851443,0.07611033878611255,0.0664611722782993,0.8859936450092111,0
dronevehicle,val,native_N_dfl_expectation,0,2821,0.13498202629774914,0.12424623209887127,0.12737847880835287,0.17079176704157356,0.11751162724219895,0.848450688703397,0
dronevehicle,train,ridge_N_dfl,64,15019,0.2399156361296747,0.24374010921329997,0.24484154371388342,0.2342309341270648,0.2368499574644505,0.7596483703925508,0
dronevehicle,val,ridge_N_dfl,64,2821,0.2951946535259846,0.28066498488525615,0.298518381374611,0.3187491479403309,0.28284609990374043,0.742625951235498,0
dronevehicle,train,ridge_N_dfl_T_dfl,128,15019,0.1756362897540697,0.17167238240611452,0.1754054285952447,0.17366486490845479,0.18180248310646477,0.7881467953035379,0
dronevehicle,val,ridge_N_dfl_T_dfl,128,2821,0.2226130411358585,0.1996071673868414,0.21861265972526028,0.2512184276485107,0.22101390978282157,0.7715767907574121,0
dronevehicle,train,ridge_N_dfl_N_feature,320,15019,0.18723704003816344,0.19704116798096996,0.18836457676725657,0.18290322062693073,0.18063919477749635,0.7798320133343363,4
dronevehicle,val,ridge_N_dfl_N_feature,320,2821,0.25207669860588655,0.24210011716915164,0.25288358813413836,0.2907216839321026,0.22260140518815355,0.7573843976213596,0
dronevehicle,train,ridge_N_dfl_N_feature_T_feature,576,15019,0.17296644464831354,0.1826545789884626,0.17366785257931963,0.1670776950405789,0.16846565198489302,0.7859971770844361,5
dronevehicle,val,ridge_N_dfl_N_feature_T_feature,576,2821,0.2323393767769311,0.22063386785097322,0.23132407732288293,0.27115940966046076,0.2062401522734075,0.7634150352916358,1
dronevehicle,train,ridge_N_dfl_N_feature_shuffled_T_feature,576,15019,0.18628140792838388,0.1958676934322277,0.18744943144804932,0.18201225243067348,0.17979625440258498,0.7801583221968935,5
dronevehicle,val,ridge_N_dfl_N_feature_shuffled_T_feature,576,2821,0.2527593491306213,0.24276556579898703,0.25369280162036406,0.291448304899062,0.22313072420407215,0.7569724623878576,0
dronevehicle,train,ridge_meta_only,3,15019,2.366210345696305,2.5039399546717576,2.360195679060617,2.2389351860304374,2.3617705630224086,0.4315792724987263,0
dronevehicle,val,ridge_meta_only,3,2821,2.294986427528717,2.27134937489385,2.414864984593999,2.133583371395296,2.3601479792317215,0.43451785919256897,0
dronevehicle,train,ridge_N_dfl_N0_dfl,128,15019,0.18184598083579914,0.18345132418655447,0.18360300330787402,0.1795154738814091,0.18081412196735908,0.7855959542085742,1
dronevehicle,val,ridge_N_dfl_N0_dfl,128,2821,0.24382016022317754,0.23359637345286188,0.23759614058437617,0.27360010017171016,0.23048802668376206,0.764176626211253,0
dronevehicle,train,ridge_N_dfl_N_feature_N0_feature,576,15019,0.1772565148935171,0.18627640053228317,0.17675051338147132,0.173665683462412,0.17233346219790202,0.7844846327611391,11
dronevehicle,val,ridge_N_dfl_N_feature_N0_feature,576,2821,0.24515679406510787,0.23543860137015785,0.24393807225897607,0.2851527771480271,0.21609772548327033,0.7602107511219865,2
