dataset,split,arm,input_dim,n_objects,four_edge_mse,left_mse,top_mse,right_mse,bottom_mse,mean_iou_rgb_gt,invalid_negative_distance_n
llvip,train,native_N_dfl_expectation,0,2728,0.08223775609114758,0.04865297259689429,0.1029948405442893,0.04680492149011392,0.13049828973329283,0.8838174084675978,0
llvip,val,native_N_dfl_expectation,0,548,0.4580199078744119,0.2357667481100493,0.39330663561398466,0.28259208205369685,0.9204141657199165,0.726482825499424,0
llvip,train,ridge_N_dfl,64,2728,0.18061440563337636,0.08424434121917834,0.23588575398470732,0.07983430335739375,0.322493223972226,0.8017620784949556,0
llvip,val,ridge_N_dfl,64,548,0.44434633102680327,0.25734856290432717,0.4405991671076052,0.28525749343486057,0.7941801006604201,0.6965625676603274,0
llvip,train,ridge_N_dfl_T_dfl,128,2728,0.1256966871108291,0.05902074692099781,0.15363813357386624,0.056243971968724674,0.23388389597972772,0.8342723582563363,0
llvip,val,ridge_N_dfl_T_dfl,128,548,0.3243676446896861,0.18534467777772753,0.27270043484732276,0.198842463502,0.640583002631694,0.7324493951744875,0
llvip,train,ridge_N_dfl_N_feature,320,2728,0.14410522458885308,0.07155653898834538,0.19063101548203326,0.07080372161009965,0.24342962227493403,0.8184551585351257,1
llvip,val,ridge_N_dfl_N_feature,320,548,0.4637047465317907,0.2520039499252028,0.4485166179468719,0.28086270850110445,0.8734357097539838,0.6945360555327853,0
llvip,train,ridge_N_dfl_N_feature_T_feature,576,2728,0.12236186266295095,0.059458078503909974,0.15790573803758973,0.06186773271728111,0.21021590139302296,0.8303088278948406,1
llvip,val,ridge_N_dfl_N_feature_T_feature,576,548,0.3882409163197566,0.20469909138425235,0.36359802045031137,0.23394405912442323,0.7507224943200397,0.7128173911226594,0
llvip,train,ridge_N_dfl_N_feature_shuffled_T_feature,576,2728,0.14006472178632914,0.06924343906707839,0.18568533794833111,0.06894040141363528,0.23638970871627182,0.8199222364942739,1
llvip,val,ridge_N_dfl_N_feature_shuffled_T_feature,576,548,0.46596442415173545,0.2529389255177908,0.4494310152820565,0.2830324211646827,0.8784553346424119,0.693303119120468,0
llvip,train,ridge_meta_only,3,2728,1.7341349308344014,0.6435721447212625,2.738792838802126,0.6138596267553288,2.9403151130588867,0.48360957291051804,0
llvip,val,ridge_meta_only,3,548,1.8181740728682299,0.6776916953868514,2.7673707662007545,0.7181119557376231,3.1095218741476898,0.46338435154770263,0
