dataset,split,fixed_stratum,condition_index,dx_input_px,dy_input_px,linf_px,l2_px,fixed_n,teacher_unclamped_support_n,iou_advantage_mean,teacher_minus_native_ce_mean,teacher_ce_better_fraction,kl_t2_mean4_mean,cosine_mean,positive_cosine_fraction_fixed,original_quality_gate_n,original_quality_gate_survived_n,original_quality_gate_survival_fraction,new_quality_gate_members_n,lost_mass_t1_mean4_mean,lost_mass_t2_mean4_mean,conditional_vs_exact_box_max_abs_px_mean,conditional_vs_exact_box_max_abs_px_max
llvip,train,base,0,0,0,0,0.0,2728,2728,-0.002332673926171332,-0.017420245986783527,0.5835777126099707,0.20656855551802353,0.36826177977101227,0.8086510263929618,23,23,1.0,0,0.0,0.0,0.0,0.0
llvip,train,n_iou_lt_070,0,0,0,0,0.0,82,82,0.13284988673463646,-0.4320855736590299,0.7926829268292683,0.8144504645295065,0.5437822411286473,0.8780487804878049,23,23,1.0,0,0.0,0.0,0.0,0.0
llvip,train,quality_gate070,0,0,0,0,0.0,23,23,0.22221580310077768,-0.760851107373238,0.9565217391304348,1.2579783122538788,0.7624319641238435,1.0,23,23,1.0,0,0.0,0.0,0.0,0.0
llvip,val,base,0,0,0,0,0.0,548,548,0.04116323182142807,-0.15589796732108194,0.6113138686131386,0.8042054077872683,0.40631273010635316,0.791970802919708,61,61,1.0,0,0.0,0.0,0.0,0.0
llvip,val,n_iou_lt_070,0,0,0,0,0.0,199,199,0.14629329977686598,-0.5384681360597853,0.8040201005025126,1.3792449510457245,0.5544913931599923,0.8844221105527639,61,61,1.0,0,0.0,0.0,0.0,0.0
llvip,val,quality_gate070,0,0,0,0,0.0,61,61,0.262153576063167,-0.9454531265895191,1.0,1.758663887002221,0.7849866146928555,1.0,61,61,1.0,0,0.0,0.0,0.0,0.0
llvip,train,base,1,1,0,1,1.0,2728,2728,-0.011327656289289119,-0.0049318575412834464,0.45784457478005863,0.21493601261920653,0.3370045038905355,0.7961876832844574,23,23,1.0,1,0.001442657909702845,0.0018983148394734939,0.13902135988012126,0.9888945365364634
llvip,train,n_iou_lt_070,1,1,0,1,1.0,82,82,0.13051743958943604,-0.44818056577175436,0.8170731707317073,0.8102737513038984,0.5499472018151702,0.8902439024390244,23,23,1.0,1,0.0014209175788504904,0.0020440962379848888,0.13598269259234397,0.8894118120835515
llvip,train,quality_gate070,1,1,0,1,1.0,23,23,0.2259109939453473,-0.7646461204530021,1.0,1.2500669271172082,0.770946502449238,1.0,23,23,1.0,0,0.0012629627764781204,0.001746991101913009,0.13327845630000607,0.7422461045840123
llvip,val,base,1,1,0,1,1.0,548,548,0.037633547049163864,-0.16963667171528993,0.5948905109489051,0.7907542772958599,0.4093286011770354,0.7937956204379562,61,61,1.0,0,0.00166370825056969,0.0020479019365449314,0.155018823886023,0.9810391150685973
llvip,val,n_iou_lt_070,1,1,0,1,1.0,199,199,0.14125412485615188,-0.5637006657189269,0.8140703517587939,1.358750327083842,0.5630490711581125,0.8894472361809045,61,61,1.0,0,0.002204430707109866,0.002572238610693602,0.19652642752410895,0.9810391150685973
llvip,val,quality_gate070,1,1,0,1,1.0,61,61,0.25197535184701303,-0.9415119555185858,0.9836065573770492,1.736644999888558,0.7838488394283345,1.0,61,61,1.0,0,0.0021802114683320143,0.0025490038757162428,0.20747593822983088,0.9531215811524021
llvip,train,base,2,-1,0,1,1.0,2728,2728,-0.011228714776864593,-0.005205780166334734,0.45234604105571846,0.21164243954053766,0.33747405120023055,0.7903225806451613,23,23,1.0,1,0.0015206610692787318,0.0019815182418132333,0.145718609926188,0.9928078909759392
llvip,train,n_iou_lt_070,2,-1,0,1,1.0,82,82,0.1258272836935371,-0.4456379407297496,0.8414634146341463,0.8060972038163378,0.5479039855026215,0.8902439024390244,23,23,1.0,1,0.0017016742090244514,0.002426601467950041,0.1549826577912868,0.9258588974311124
llvip,train,quality_gate070,2,-1,0,1,1.0,23,23,0.2086820822102762,-0.7516041390691126,0.9565217391304348,1.2375703110297283,0.7583991994801013,1.0,23,23,1.0,0,0.001774973197686545,0.0023733475148533844,0.18259705943429122,0.8166128741319199
llvip,val,base,2,-1,0,1,1.0,548,548,0.035624713703669694,-0.1636690044900827,0.5985401459854015,0.8035336400439251,0.40932870560989015,0.7956204379562044,61,60,0.9836065573770492,1,0.0020058355033472754,0.0023713044292512,0.18503680587712937,0.9998995791130483
llvip,val,n_iou_lt_070,2,-1,0,1,1.0,199,199,0.14214212146347008,-0.5619134255255401,0.8090452261306532,1.362333459483871,0.5654660788866868,0.8944723618090452,61,60,0.9836065573770492,1,0.001968626353978038,0.0023111706151376543,0.17924286278486978,0.9912616902050786
llvip,val,quality_gate070,2,-1,0,1,1.0,61,61,0.25760660327703405,-0.9443539930638539,0.9836065573770492,1.7141247771688237,0.7865077183132462,1.0,61,60,0.9836065573770492,0,0.0018249271454939763,0.002212998556719472,0.17780543624858547,0.9372573973132603
llvip,train,base,3,0,1,1,1.0,2728,2728,-0.0064256669306892045,-0.0040108273629010475,0.44208211143695014,0.21230062664231006,0.33648021360248903,0.7862903225806451,23,22,0.9565217391304348,0,0.0002097929449245951,0.0003834604583563492,0.02173959361287785,0.9786292314051934
llvip,train,n_iou_lt_070,3,0,1,1,1.0,82,82,0.12973724961975952,-0.43625394439486603,0.8048780487804879,0.8100192001105916,0.5502639387744231,0.9024390243902439,23,22,0.9565217391304348,0,0.000355435429878,0.0006854123679631967,0.040735566775352984,0.820151565588958
llvip,train,quality_gate070,3,0,1,1,1.0,23,23,0.2172371232144588,-0.7583386971233699,0.9565217391304348,1.2468554043401938,0.7662357100642232,1.0,23,22,0.9565217391304348,0,0.00012715166169477958,0.00038345564250341266,0.015635628486696588,0.30706485565394814
llvip,val,base,3,0,1,1,1.0,548,548,0.03899551517386985,-0.16858285751359578,0.5985401459854015,0.8131807798136702,0.4081332723839653,0.8029197080291971,61,60,0.9836065573770492,2,0.00030631709003525845,0.0004749581881717778,0.030521422561900897,0.9526838599448979
llvip,val,n_iou_lt_070,3,0,1,1,1.0,199,199,0.14343405411548854,-0.5608838680230205,0.8140703517587939,1.3866664883849316,0.5598915746198195,0.8944723618090452,61,60,0.9836065573770492,2,0.00032722855103576394,0.0005275080674286327,0.03425010918672132,0.9526838599448979
