dataset,family,phase,unit,objects,unique_units,top1_objects,top5_objects,top1_fraction,top5_fraction,top5_units,unknown_group_objects,denominator
llvip,C0_C1,base,group,5128,14,1023,2957,0.19949297971918878,0.5766380655226209,"[""08"", ""09"", ""06"", ""10"", ""13""]",0,objects_in_this_family_and_phase
llvip,C0_C1,base,image,5128,1997,12,53,0.00234009360374415,0.010335413416536661,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081302.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080547.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091048.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090462.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050034.jpg""]",0,objects_in_this_family_and_phase
llvip,C0_C1,eligible,group,4406,14,903,2524,0.20494779845665,0.5728551974580118,"[""08"", ""09"", ""06"", ""10"", ""13""]",0,objects_in_this_family_and_phase
llvip,C0_C1,eligible,image,4406,1899,11,46,0.0024965955515206537,0.01044030866999546,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081302.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091048.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060024.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060335.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060403.jpg""]",0,objects_in_this_family_and_phase
llvip,C0_C1,selected,group,2217,14,538,1346,0.2426702751465945,0.607126747857465,"[""08"", ""09"", ""10"", ""06"", ""13""]",0,objects_in_this_family_and_phase
llvip,C0_C1,selected,image,2217,1317,8,36,0.0036084799278304014,0.016238159675236806,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091048.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080245.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080433.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080671.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081056.jpg""]",0,objects_in_this_family_and_phase
llvip,L_UNVERIFIED,base,group,5033,14,1010,2919,0.20067554142658453,0.5799721835883171,"[""08"", ""09"", ""06"", ""10"", ""13""]",0,objects_in_this_family_and_phase
llvip,L_UNVERIFIED,base,image,5033,1994,12,53,0.002384263858533678,0.010530498708523744,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081302.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080547.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091048.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090462.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050034.jpg""]",0,objects_in_this_family_and_phase
llvip,L_UNVERIFIED,selected,group,207,14,34,134,0.1642512077294686,0.6473429951690821,"[""10"", ""08"", ""09"", ""13"", ""17""]",0,objects_in_this_family_and_phase
llvip,L_UNVERIFIED,selected,image,207,187,3,11,0.014492753623188406,0.05314009661835749,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080736.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080376.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080961.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081001.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081008.jpg""]",0,objects_in_this_family_and_phase
