dataset,class_id,class_name,phase,objects,valid_P3_objects,valid_P4_objects,valid_both_objects,valid_P3_fraction,valid_P4_fraction,mean_effective_levels
llvip,0,person,base,5128,5127,5089,5088,0.999804992199688,0.9923946957878315,1.9921996879875195
llvip,0,person,eligible,4406,4406,4391,4391,1.0,0.9965955515206536,1.9965955515206537
llvip,0,person,selected,2217,2217,2202,2202,1.0,0.993234100135318,1.993234100135318
dronevehicle,0,car,base,24226,24222,21636,21632,0.9998348881367126,0.8930900685214233,1.8929249566581359
dronevehicle,0,car,eligible,13530,13529,12037,12036,0.9999260901699926,0.8896526237989653,1.889578713968958
dronevehicle,0,car,selected,6935,6934,6034,6033,0.9998558038932949,0.8700793078586878,1.8699351117519827
dronevehicle,1,freight car,base,905,905,866,866,1.0,0.9569060773480663,1.9569060773480662
dronevehicle,1,freight car,eligible,370,370,348,348,1.0,0.9405405405405406,1.9405405405405405
dronevehicle,1,freight car,selected,179,179,169,169,1.0,0.9441340782122905,1.9441340782122905
dronevehicle,2,truck,base,1270,1268,1218,1216,0.9984251968503937,0.9590551181102362,1.95748031496063
dronevehicle,2,truck,eligible,593,591,564,562,0.9966273187183811,0.9510961214165261,1.9477234401349073
dronevehicle,2,truck,selected,320,319,300,299,0.996875,0.9375,1.934375
dronevehicle,3,bus,base,1221,1221,1207,1207,1.0,0.9885339885339886,1.9885339885339886
dronevehicle,3,bus,eligible,822,822,817,817,1.0,0.9939172749391727,1.9939172749391727
dronevehicle,3,bus,selected,247,247,245,245,1.0,0.9919028340080972,1.991902834008097
dronevehicle,4,van,base,675,675,632,632,1.0,0.9362962962962963,1.9362962962962964
dronevehicle,4,van,eligible,301,301,291,291,1.0,0.9667774086378738,1.9667774086378738
dronevehicle,4,van,selected,140,140,135,135,1.0,0.9642857142857143,1.9642857142857142
