stem	sequence_prefix	visible	infrared	annotation
020001	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020001.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020001.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020001.xml
020002	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020002.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020002.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020002.xml
020003	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020003.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020003.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020003.xml
020004	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020004.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020004.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020004.xml
020005	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020005.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020005.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020005.xml
020006	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020006.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020006.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020006.xml
020007	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020007.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020007.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020007.xml
020008	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020008.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020008.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020008.xml
020009	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020009.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020009.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020009.xml
020010	02	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020010.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/infrared/train/020010.jpg	/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/Annotations/020010.xml
