epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,635.683,1.40364,1.6275,1.27278,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,1256.76,1.33043,1.04576,1.20336,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,1875.58,1.33388,1.01138,1.20003,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,2495.9,1.32364,0.97419,1.1954,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,3118.99,1.28694,0.89549,1.17238,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,3743.07,1.26312,0.84686,1.16049,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,4362.48,1.2495,0.82696,1.15353,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,4986.17,1.23401,0.79601,1.15119,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,5605.41,1.22385,0.7791,1.1436,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,6221.65,1.21369,0.76435,1.13993,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,6838.14,1.20482,0.75036,1.13183,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,7456.95,1.19843,0.73783,1.12745,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,8074.39,1.19489,0.72961,1.12939,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,9110.03,1.18624,0.72023,1.12189,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,11257.8,1.18114,0.71294,1.11991,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,12386.2,1.17461,0.70384,1.11536,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,13321,1.17394,0.70057,1.11764,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,14166.2,1.16796,0.69478,1.11433,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,14782.8,1.16417,0.68717,1.11056,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,15399.9,1.16244,0.68237,1.10901,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,16258.8,1.1568,0.67856,1.10783,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,17117.4,1.15319,0.67475,1.10302,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
23,17958.2,1.14786,0.66759,1.10094,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
24,18660.1,1.14654,0.66611,1.1018,0,0,0,0,0,0,0,0.0088615,0.0088615,0.0088615
25,19277.5,1.14476,0.6648,1.09799,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
26,19896.2,1.14087,0.65711,1.09819,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
27,20510.6,1.13512,0.65329,1.09488,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
