epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1081.19,1.40405,1.62834,1.27277,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,2155.46,1.33067,1.04434,1.20632,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,3236.05,1.33596,1.00809,1.20539,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,4317.65,1.32509,0.97225,1.19993,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,5397.62,1.28831,0.89474,1.17902,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,6487.39,1.26413,0.84566,1.16522,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,7575.02,1.25102,0.82586,1.15811,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,8662.07,1.23407,0.79624,1.15341,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,9740.03,1.22508,0.78007,1.14687,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,10827.5,1.21545,0.76617,1.14361,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,11921.8,1.20684,0.75267,1.13524,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,13006.7,1.19917,0.74102,1.13039,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,14094.5,1.19589,0.73433,1.13231,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,15184.7,1.18746,0.72489,1.12471,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,16283.3,1.18174,0.71595,1.12152,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,17377.8,1.17274,0.70534,1.11664,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,18470.7,1.17174,0.70193,1.11833,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,19565.8,1.16691,0.69549,1.11659,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,20648.6,1.16447,0.68956,1.11273,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,21715.7,1.16175,0.6848,1.11062,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,22803.1,1.15643,0.68068,1.10928,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,23979.9,1.1535,0.67762,1.10465,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
