epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/fp_aux,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/fp_aux,lr/pg0,lr/pg1,lr/pg2
1,84.5532,1.28079,1.50295,1.18717,0,0,0,0,0,0,0,0,0,0.00332741,0.00332741,0.0700533
2,157.79,1.22277,0.91588,1.14238,0,0,0,0,0,0,0,0,0,0.00662778,0.00662778,0.0400203
3,230.667,1.22453,0.8731,1.13751,0,0,0,0,0,0,0,0,0,0.00989514,0.00989514,0.00995434
4,303.57,1.21671,0.83425,1.13722,0,0,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
5,379.612,1.1941,0.77833,1.1251,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
6,453.045,1.17019,0.74182,1.11154,0,0,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
7,522.816,1.15795,0.71572,1.10711,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
8,584.848,1.14506,0.69044,1.09955,0,0,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
9,649.407,1.13795,0.67654,1.09736,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
10,716.114,1.12962,0.66524,1.0939,0,0,0,0,0,0,0,0,0,0.0095545,0.0095545,0.0095545
11,784.67,1.12167,0.6552,1.09013,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
12,853.217,1.11877,0.64594,1.08409,0,0,0,0,0,0,0,0,0,0.0094555,0.0094555,0.0094555
13,919.978,1.11501,0.6404,1.08418,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
14,989.694,1.10645,0.62826,1.08017,0,0,0,0,0,0,0,0,0,0.0093565,0.0093565,0.0093565
15,1058.69,1.10296,0.62162,1.07947,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
16,1126.65,1.09967,0.61785,1.07562,0,0,0,0,0,0,0,0,0,0.0092575,0.0092575,0.0092575
17,1194.81,1.09293,0.61013,1.07312,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
18,1260.37,1.09117,0.60655,1.06992,0,0,0,0,0,0,0,0,0,0.0091585,0.0091585,0.0091585
19,1330.81,1.08696,0.59884,1.07,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
20,1400.37,1.08712,0.59713,1.06885,0,0,0,0,0,0,0,0,0,0.0090595,0.0090595,0.0090595
21,1466.91,1.08458,0.59266,1.06519,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
22,1533.63,1.08037,0.58842,1.06559,0,0,0,0,0,0,0,0,0,0.0089605,0.0089605,0.0089605
23,1602.5,1.07665,0.5857,1.06178,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
24,1671.98,1.07566,0.58161,1.06013,0,0,0,0,0,0,0,0,0,0.0088615,0.0088615,0.0088615
25,1739.51,1.07242,0.57876,1.06041,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
26,1808.13,1.07059,0.57328,1.05917,0,0,0,0,0,0,0,0,0,0.0087625,0.0087625,0.0087625
27,1876.4,1.06809,0.57248,1.06051,0,0,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
28,1945.47,1.06845,0.57005,1.0567,0,0,0,0,0,0,0,0,0,0.0086635,0.0086635,0.0086635
29,2014.69,1.06481,0.56637,1.05872,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
30,2084.48,1.0638,0.56427,1.05461,0,0,0,0,0,0,0,0,0,0.0085645,0.0085645,0.0085645
31,2155.88,1.06113,0.56284,1.05453,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
32,2227.27,1.06057,0.55868,1.05454,0,0,0,0,0,0,0,0,0,0.0084655,0.0084655,0.0084655
33,2298.27,1.0585,0.55877,1.05301,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
34,2367.58,1.05608,0.5561,1.04958,0,0,0,0,0,0,0,0,0,0.0083665,0.0083665,0.0083665
35,2439.52,1.05329,0.55413,1.05173,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
36,2511.36,1.05297,0.55315,1.05189,0,0,0,0,0,0,0,0,0,0.0082675,0.0082675,0.0082675
37,2583.91,1.05299,0.55079,1.05061,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
38,2656.26,1.05117,0.5494,1.04935,0,0,0,0,0,0,0,0,0,0.0081685,0.0081685,0.0081685
39,2729.08,1.0492,0.54631,1.04685,0,0,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
40,2803.41,1.04751,0.54619,1.04996,0,0,0,0,0,0,0,0,0,0.0080695,0.0080695,0.0080695
41,2878.63,1.04959,0.54466,1.04868,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
42,2950.19,1.04515,0.5422,1.04505,0,0,0,0,0,0,0,0,0,0.0079705,0.0079705,0.0079705
43,3026.8,1.04401,0.5407,1.04485,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
44,3101.62,1.04189,0.53829,1.0455,0,0,0,0,0,0,0,0,0,0.0078715,0.0078715,0.0078715
45,3176.15,1.04152,0.53783,1.04385,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
46,3253.7,1.04173,0.53595,1.0457,0,0,0,0,0,0,0,0,0,0.0077725,0.0077725,0.0077725
47,3327.19,1.03797,0.53282,1.0452,0,0,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
48,3401.25,1.03747,0.53522,1.0426,0,0,0,0,0,0,0,0,0,0.0076735,0.0076735,0.0076735
49,3477.51,1.03599,0.53284,1.04194,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
50,3549.32,1.03582,0.53021,1.04109,0,0,0,0,0,0,0,0,0,0.0075745,0.0075745,0.0075745
51,3625.32,1.03372,0.52932,1.03942,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
52,3698.9,1.03209,0.52785,1.04217,0,0,0,0,0,0,0,0,0,0.0074755,0.0074755,0.0074755
53,3772.93,1.03327,0.52712,1.03904,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
54,3846.53,1.03078,0.52485,1.04063,0,0,0,0,0,0,0,0,0,0.0073765,0.0073765,0.0073765
55,3920.92,1.03009,0.52388,1.0418,0,0,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
56,3992.96,1.02759,0.52365,1.04048,0,0,0,0,0,0,0,0,0,0.0072775,0.0072775,0.0072775
57,4065,1.02663,0.52194,1.03717,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
58,4138.48,1.02657,0.51947,1.03819,0,0,0,0,0,0,0,0,0,0.0071785,0.0071785,0.0071785
59,4213.42,1.0261,0.52016,1.0378,0,0,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
60,4286.06,1.02672,0.51938,1.03632,0,0,0,0,0,0,0,0,0,0.0070795,0.0070795,0.0070795
61,4357.39,1.02421,0.5171,1.03711,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
62,4427.92,1.0209,0.51553,1.03411,0,0,0,0,0,0,0,0,0,0.0069805,0.0069805,0.0069805
63,4498.72,1.02293,0.51439,1.03491,0,0,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
64,4569.5,1.02079,0.51436,1.03574,0,0,0,0,0,0,0,0,0,0.0068815,0.0068815,0.0068815
65,4639.55,1.0203,0.51315,1.03612,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
66,4714.39,1.01842,0.51154,1.03408,0,0,0,0,0,0,0,0,0,0.0067825,0.0067825,0.0067825
67,4788.4,1.01719,0.50973,1.03342,0,0,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
68,4860.35,1.01889,0.51071,1.03386,0,0,0,0,0,0,0,0,0,0.0066835,0.0066835,0.0066835
69,4933.47,1.01605,0.50968,1.03196,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
70,5002.87,1.01325,0.50806,1.03082,0,0,0,0,0,0,0,0,0,0.0065845,0.0065845,0.0065845
71,5074.5,1.01448,0.50612,1.03086,0,0,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
72,5145.69,1.01271,0.50533,1.03041,0,0,0,0,0,0,0,0,0,0.0064855,0.0064855,0.0064855
73,5210.69,1.01324,0.50571,1.03074,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
74,5276.94,1.01103,0.50382,1.02946,0,0,0,0,0,0,0,0,0,0.0063865,0.0063865,0.0063865
75,5343.07,1.0097,0.5026,1.02755,0,0,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
76,5409.5,1.00731,0.50151,1.03067,0,0,0,0,0,0,0,0,0,0.0062875,0.0062875,0.0062875
77,5473.28,1.00625,0.49824,1.02823,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
78,5539.48,1.0053,0.49864,1.02838,0,0,0,0,0,0,0,0,0,0.0061885,0.0061885,0.0061885
79,5602.53,1.00459,0.49713,1.02817,0,0,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
80,5669.7,1.00468,0.49752,1.03025,0,0,0,0,0,0,0,0,0,0.0060895,0.0060895,0.0060895
81,5735.78,1.00226,0.49717,1.02673,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
82,5801.19,1.00139,0.49449,1.02792,0,0,0,0,0,0,0,0,0,0.0059905,0.0059905,0.0059905
83,5866.32,1.00119,0.4948,1.02325,0,0,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
84,5934.28,1.0008,0.4933,1.02681,0,0,0,0,0,0,0,0,0,0.0058915,0.0058915,0.0058915
85,6000.08,0.99903,0.49312,1.02522,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
86,6067.11,0.99732,0.49229,1.02312,0,0,0,0,0,0,0,0,0,0.0057925,0.0057925,0.0057925
87,6133.29,0.99638,0.48991,1.02428,0,0,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
88,6201.22,0.99673,0.48888,1.02218,0,0,0,0,0,0,0,0,0,0.0056935,0.0056935,0.0056935
89,6266.32,0.99487,0.48769,1.02166,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
90,6333.41,0.99361,0.48822,1.02227,0,0,0,0,0,0,0,0,0,0.0055945,0.0055945,0.0055945
91,6401.1,0.99204,0.48806,1.0218,0,0,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
92,6467.93,0.99192,0.48739,1.02142,0,0,0,0,0,0,0,0,0,0.0054955,0.0054955,0.0054955
93,6535.35,0.99098,0.48554,1.02099,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
94,6601.13,0.98864,0.48339,1.01993,0,0,0,0,0,0,0,0,0,0.0053965,0.0053965,0.0053965
95,6669.67,0.98846,0.48192,1.01916,0,0,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
96,6736.84,0.98785,0.48078,1.01902,0,0,0,0,0,0,0,0,0,0.0052975,0.0052975,0.0052975
97,6802.91,0.98621,0.48111,1.01723,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
98,6870.79,0.98555,0.47974,1.01706,0,0,0,0,0,0,0,0,0,0.0051985,0.0051985,0.0051985
99,6937.32,0.98306,0.47814,1.01762,0,0,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
100,7003.47,0.98505,0.47725,1.01904,0,0,0,0,0,0,0,0,0,0.0050995,0.0050995,0.0050995
101,7073.14,0.98216,0.47637,1.01556,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
102,7138.91,0.98163,0.47724,1.01795,0,0,0,0,0,0,0,0,0,0.0050005,0.0050005,0.0050005
103,7205.08,0.98161,0.4757,1.01928,0,0,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
104,7272.22,0.98001,0.4739,1.01553,0,0,0,0,0,0,0,0,0,0.0049015,0.0049015,0.0049015
105,7340.99,0.97941,0.47417,1.01375,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
106,7407.66,0.97878,0.47262,1.01557,0,0,0,0,0,0,0,0,0,0.0048025,0.0048025,0.0048025
107,7476.8,0.97678,0.47071,1.01662,0,0,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
108,7544.92,0.97771,0.47277,1.01426,0,0,0,0,0,0,0,0,0,0.0047035,0.0047035,0.0047035
109,7612.93,0.9749,0.46769,1.01471,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
110,7679.76,0.97376,0.46877,1.01508,0,0,0,0,0,0,0,0,0,0.0046045,0.0046045,0.0046045
111,7747.98,0.9717,0.46738,1.01191,0,0,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
112,7816.05,0.97169,0.46645,1.01199,0,0,0,0,0,0,0,0,0,0.0045055,0.0045055,0.0045055
113,7881.28,0.97186,0.46716,1.01177,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
114,7942.09,0.97053,0.4668,1.01035,0,0,0,0,0,0,0,0,0,0.0044065,0.0044065,0.0044065
115,8005.5,0.97047,0.46509,1.00999,0,0,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
116,8073.47,0.96791,0.46416,1.00832,0,0,0,0,0,0,0,0,0,0.0043075,0.0043075,0.0043075
