batch,arm,base,selected,selected_over_base,native_gradient_norm,B_times_unweighted_kd_gradient_norm,coefficient,actual_weighted_KD_over_native_norm,native_cosine
1,L2-box,79,7,0.08860759493670886,34.30773951931766,0.6243388937893658,1.0,0.018198193834304335,0.07673070982780535
1,L2-GT,79,7,0.08860759493670886,34.30773951931766,0.6043588032626527,1.0,0.017615815315443806,0.08240961897473224
2,L2-box,85,2,0.023529411764705882,32.522491853849374,0.33023877120027206,1.0,0.010154165698136224,-0.040831300026960726
2,L2-GT,85,2,0.023529411764705882,32.522491853849374,0.3415506550407393,1.0,0.010501982953077848,-0.0031426463238341555
3,L2-box,69,0,0.0,35.83566121967788,0.0,1.0,0.0,
3,L2-GT,69,0,0.0,35.83566121967788,0.0,1.0,0.0,
4,L2-box,78,3,0.038461538461538464,31.42974758124894,0.692203419202669,1.0,0.022023830048690535,0.09696155646190488
4,L2-GT,78,3,0.038461538461538464,31.42974758124894,0.6930852492828116,1.0,0.022051887228528296,0.09344013840271831
5,L2-box,97,2,0.020618556701030927,30.116208573815207,0.22159863649196945,1.0,0.007358118667189743,-0.1258480821595102
5,L2-GT,97,2,0.020618556701030927,30.116208573815207,0.21871150336576445,1.0,0.007262252246317786,-0.12814857982647235
6,L2-box,86,5,0.05813953488372093,33.03535673550956,0.3258934212704453,1.0,0.009864988711326489,-0.18741487570938778
6,L2-GT,86,5,0.05813953488372093,33.03535673550956,0.3815810598204211,1.0,0.011550686825496311,-0.180201927946352
7,L2-box,67,4,0.05970149253731343,38.49067712220979,0.48560881334017514,1.0,0.012616270994618862,0.011159640042716202
7,L2-GT,67,4,0.05970149253731343,38.49067712220979,0.4781293925697326,1.0,0.012421953270701065,0.03668177112286793
8,L2-box,88,7,0.07954545454545454,32.794735698336076,1.1027839917212277,1.0,0.03362686017247519,0.10876497679584801
8,L2-GT,88,7,0.07954545454545454,32.794735698336076,1.102803564419609,1.0,0.033627456996872904,0.11132673534161631
