batch,batch_index,rgb_gt_index,base,output_derivative_cosine,teacher_target_vs_GT_normalized_mean_L1,teacher_target_vs_GT_normalized_max_abs,exact_derivative_equal,exact_target_equal,image
1,9,19,79,0.9036555491613085,0.049549604462350294,0.0786238641992473,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020011.jpg
1,12,25,79,0.9500284755969659,0.03396139744529067,0.0528054882945352,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/130313.jpg
1,12,26,79,0.9997423681837497,0.019031841318597215,0.05767958938346307,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/130313.jpg
1,21,51,79,0.9801374445041385,0.044379586719275804,0.1348241898305751,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/100910.jpg
1,23,55,79,0.9437945562700252,0.041193093334173606,0.11407217749569513,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/110162.jpg
1,24,59,79,0.9200859839100595,0.06241880874043983,0.19952296761471566,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/020030.jpg
1,30,76,79,0.9365281423926075,0.026046132532854004,0.05118917423090208,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/180167.jpg
2,30,80,85,0.9600796702706488,0.056937283534876815,0.13473805530085536,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/170286.jpg
2,31,84,85,0.9917640355103527,0.010110101300115568,0.020448882125605694,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/100610.jpg
4,6,12,78,0.9124645239895826,0.04562259103234583,0.06600779309383897,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/180148.jpg
4,12,29,78,0.9800262241157556,0.045458516620241085,0.059536770341818195,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/101077.jpg
4,19,45,78,0.9753624415692282,0.048040199400958286,0.1053220505897714,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/091113.jpg
5,7,15,97,0.9972327421518572,0.02887807728811399,0.05620814999043428,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/060181.jpg
5,10,29,97,0.9875243674598867,0.026860999615068715,0.07932636655156618,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/090270.jpg
6,8,19,86,0.8193822938802604,0.044868325536734054,0.0784613172663382,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/101235.jpg
6,15,38,86,0.8878901588924014,0.06248440467178054,0.1585039896527108,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/050240.jpg
6,22,58,86,0.8937668930675452,0.06898033050506819,0.14162047973675695,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/100626.jpg
6,22,59,86,0.9857123580927274,0.013743589115231807,0.021534860668999234,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/100626.jpg
6,24,64,86,0.9922162913442594,0.014980458113604978,0.03249594921405641,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/180055.jpg
7,1,7,67,0.9996464789396691,0.01969592629977834,0.05330912866201285,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/160019.jpg
7,8,21,67,0.9786511284871131,0.05535384270196386,0.1071084398234252,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/090753.jpg
7,13,35,67,0.9835358112460085,0.02682845545131148,0.054380071142719144,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/090257.jpg
7,13,36,67,0.9688733400227554,0.01576980988580079,0.02791350970179851,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/090257.jpg
8,4,8,88,0.9880140753501653,0.04091335267945463,0.13730798217188964,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/180306.jpg
8,6,13,88,0.9643316006471329,0.018498957179908827,0.04256642839756773,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/170437.jpg
8,9,27,88,0.9854211878862388,0.034105309183911796,0.10965721706737752,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/080292.jpg
8,13,36,88,0.9998706255409209,0.045856832582065576,0.10594098475898828,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/100710.jpg
8,13,37,88,0.966649576432349,0.01651987533920512,0.04553438079209859,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/100710.jpg
8,15,40,88,0.992215562350558,0.01425587769135269,0.02055007114345795,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/080351.jpg
8,27,80,88,0.9988473020280481,0.01521296046288863,0.045301793917903566,False,False,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/llvip/yolo/grouped_v1/visible/images/fit/100798.jpg
