stem	sequence_prefix
020001	02
020002	02
020003	02
020004	02
020005	02
020006	02
020007	02
020008	02
020009	02
020010	02
020011	02
020012	02
020013	02
020014	02
020015	02
020016	02
020017	02
020018	02
020019	02
020020	02
020021	02
020022	02
020023	02
020024	02
020025	02
020026	02
020027	02
020028	02
020029	02
020030	02
020031	02
020032	02
020033	02
020034	02
020035	02
020036	02
020037	02
020038	02
020039	02
020040	02
020041	02
020042	02
020043	02
020044	02
020045	02
020046	02
020047	02
020048	02
020049	02
020050	02
020051	02
020052	02
020053	02
020054	02
020055	02
020056	02
020057	02
020058	02
020059	02
020060	02
020061	02
020062	02
020063	02
020064	02
020065	02
020066	02
020067	02
020068	02
020069	02
020070	02
020071	02
020072	02
020073	02
020074	02
020075	02
020076	02
020077	02
020078	02
020079	02
020080	02
020081	02
020082	02
020083	02
020084	02
020085	02
020086	02
020087	02
020088	02
020089	02
020090	02
020091	02
020092	02
020093	02
020094	02
020095	02
020096	02
020097	02
020098	02
020099	02
020100	02
020101	02
020102	02
020103	02
020104	02
020105	02
020106	02
020107	02
020108	02
020109	02
020110	02
020111	02
020112	02
020113	02
020114	02
020115	02
020116	02
020117	02
020118	02
020119	02
020120	02
020121	02
020122	02
020123	02
020124	02
020125	02
020126	02
020127	02
020128	02
020129	02
020130	02
020131	02
020132	02
020133	02
020134	02
020135	02
020136	02
020137	02
020138	02
020139	02
020140	02
020141	02
020142	02
020143	02
020144	02
020145	02
020146	02
020147	02
020148	02
020149	02
020150	02
020151	02
020152	02
020153	02
020154	02
020155	02
020156	02
020157	02
020158	02
020159	02
020160	02
020161	02
020162	02
020163	02
020164	02
020165	02
020166	02
020167	02
020168	02
020169	02
020170	02
020171	02
020172	02
020173	02
020174	02
020175	02
020176	02
020177	02
020178	02
020179	02
020180	02
020181	02
020182	02
020183	02
020184	02
020185	02
020186	02
020187	02
020188	02
020189	02
020190	02
020191	02
020192	02
020193	02
020194	02
020195	02
020196	02
020197	02
020198	02
020199	02
020200	02
020201	02
020202	02
020203	02
020204	02
020205	02
020206	02
020207	02
020208	02
020209	02
020210	02
020211	02
020212	02
020213	02
020214	02
020215	02
020216	02
020217	02
020218	02
020219	02
020220	02
020221	02
020222	02
020223	02
020224	02
020225	02
020226	02
020227	02
020228	02
020229	02
020230	02
020231	02
020232	02
020233	02
020234	02
020235	02
020236	02
020237	02
020238	02
020239	02
020240	02
020241	02
020242	02
020243	02
020244	02
020245	02
020246	02
020247	02
020248	02
020249	02
020250	02
020251	02
020252	02
020253	02
020254	02
020255	02
020256	02
020257	02
020258	02
020259	02
020260	02
020261	02
020262	02
020263	02
020264	02
020265	02
020266	02
020267	02
020268	02
020269	02
020270	02
020271	02
020272	02
020273	02
020274	02
020275	02
020276	02
020277	02
020278	02
020279	02
020280	02
020281	02
020282	02
020283	02
020284	02
020285	02
020286	02
020287	02
020288	02
020289	02
020290	02
020291	02
020292	02
020293	02
020294	02
020295	02
020296	02
020297	02
020298	02
020299	02
020300	02
020301	02
020302	02
020303	02
020304	02
020305	02
020306	02
020307	02
020308	02
020309	02
020310	02
020311	02
020312	02
020313	02
020314	02
020315	02
020316	02
020317	02
020318	02
020319	02
020320	02
020321	02
020322	02
020323	02
020324	02
020325	02
020326	02
020327	02
020328	02
020329	02
020330	02
020331	02
020332	02
020333	02
020334	02
020335	02
020336	02
